phylum,class,order,family,genus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ahrensiaceae,Oceaniradius
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Telmatobacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Kerstersia
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus
Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium
Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina
Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Cardinium
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Glutamicibacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Piscinibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Thermithiobacillaceae,Thermithiobacillus
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Tisiphia
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Niveibacterium
Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Rubrivivax
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aureimonas
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bergeriella
Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium
Pseudomonadota,Betaproteobacteria,Burkholderiales,NA,Piscinibacterium
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alloalcanivorax
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Labrys
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Citricoccus
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Crateriforma
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae,Capilliphycus
Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
Candidatus Paceibacterota,Minisyncoccia,Minisyncoccales,Minisyncoccaceae,Minisyncoccus
Pseudomonadota,NA,Enterobacterales,NA,NA
Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Nereida
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Balneatrichaceae,Pokkaliibacter
Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Metamycoplasma
Mycoplasmatota,NA,Mycoplasmoidales,Mycoplasmoidaceae,Malacoplasma
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Nitratireductor
Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,Hyphococcus
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
Bacillota,Bacilli,Bacillales,Bacillaceae,Metabacillus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Faucicola
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Fretibacterium
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Thermodesulfobacteriota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus
Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Owariibacterium
Atribacterota,Atribacteria,Atribacterales,Atrimonadaceae,Atrimonas
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Allotamlana
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Arsenicicoccus
Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,Dietzia
Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus
Actinomycetota,Actinomycetes,Micrococcales,NA,Pengzhenrongella
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Congregibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocapsa
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Thioclava
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Aliisedimentitalea
Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma
Mycoplasmatota,Mollicutes,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis
Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium
Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
Chlamydiota,NA,Parachlamydiales,Candidatus Rhabdochlamydiaceae,NA
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus
Bacillota,Bacilli,Bacillales,Bacillaceae,Mesobacillus
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Phycicoccus
Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus
Bacillota,Bacilli,Bacillales,Bacillaceae,Cytobacillus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Algirhabdus
Bacillota,Bacilli,Bacillales,Bacillaceae,Niallia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zobellia
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Archangium
Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea
Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma
Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Curculioniphilus
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoxanthomonas
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Vreelandella
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Bacillota,Bacilli,Bacillales,Caryophanaceae,Chryseomicrobium
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Oryzobacter
Mycoplasmatota,NA,Mycoplasmoidales,Mycoplasmoidaceae,Mycoplasmoides
