phylum,class,order,family,genus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Bifidobacterium
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Verrucomicrobiota,Verrucomicrobiia,Limisphaerales,BJHT01,BJHT01
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Petralouisia
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8
Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JADKBO01
Verrucomicrobiota,Verrucomicrobiia,Opitutales,Intestinicryptomonadaceae,Merdousia
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,DSM-6294,Venatoribacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,SFDP01
Pseudomonadota,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia_A
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
Myxococcota_A,UBA9160,UBA9160,SMWR01,GCA-2729515
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio
