ncbi_species,species
Flavobacterium fluviatile,Flavobacterium fluviatile
Ligilactobacillus animalis,Ligilactobacillus animalis
Helicobacter typhlonius,Helicobacter_C typhlonius
Hydrogenophaga laconesensis,Hydrogenophaga laconesensis
Cecembia sp.,Cecembia sp007126775
Mycobacteroides immunogenum,Mycobacterium immunogenum
Mycoplasmoides pneumoniae,Mycoplasmoides pneumoniae
Muribaculum intestinale,Muribaculum intestinale
Campylobacter helveticus,Campylobacter_D helveticus
Taylorella equigenitalis,Taylorella equigenitalis
Rhizobium indigoferae,Rhizobium leguminosarum
Xanthomonas oryzae,Xanthomonas oryzae
Mycobacterium paragordonae,Mycobacterium paragordonae
Bordetella pseudohinzii,Bordetella pseudohinzii
Peribacter riflensis,Peribacter riflensis
Agrobacterium tomkonis,Agrobacterium tomkonis
Streptomyces sp900116325,Streptomyces sp900116325
Halovibrio sp.,Vreelandella sp033052795
Aquitalea denitrificans,Aquitalea denitrificans
Planosporangium mesophilum,Planosporangium mesophilum
Coproplasma excrementipullorum,Coproplasma excrementipullorum
Citrobacter portucalensis,Citrobacter portucalensis
Thauera propionica,Thauera propionica
Leptospira borgpetersenii,Leptospira borgpetersenii
Kingella kingae,Kingella kingae
Vibrio furnissii,Vibrio furnissii
Arenivirga flava,Arenivirga flava
Faecalibaculum rodentium,Faecalibaculum rodentium
Scybalocola faecavium,Catenibacillus faecavium
Cloacimonas acidaminovorans,Cloacimonas acidaminivorans
Aurantimonas endophytica,Aurantimonas endophytica
Bordetella pertussis,Bordetella pertussis
Actinocatenispora sera,Actinocatenispora sera
Pseudomonas mediterranea,Pseudomonas_E mediterranea
Salicibibacter cibi,Salicibibacter cibi
Pectobacterium parmentieri,Pectobacterium parmentieri
Chryseobacterium arthrosphaerae,Chryseobacterium arthrosphaerae
Corynebacterium pseudotuberculosis,Corynebacterium pseudotuberculosis
Porphyromonas gingivalis,Porphyromonas gingivalis
Acinetobacter faecalis,Acinetobacter faecalis
Sphingobium soli,Sphingobium soli
Companilactobacillus mishanensis,Companilactobacillus mishanensis
Lactobacillus helveticus,Lactobacillus helveticus
Enterococcus malodoratus,Enterococcus_A malodoratus
Tessaracoccus flavus,Arachnia flava
Neisseria polysaccharea,Neisseria polysaccharea
Streptococcus equi,Streptococcus equi
Corynebacterium bovis,Corynebacterium bovis
Dechloromonas hankyongensis,Azonexus hankyongensis
Phytoplasma melaleucae,Phytoplasma melaleucae
Eubacterium sulci,Eubacterium_B sulci
Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
Tolumonas auensis,Tolumonas auensis
Streptococcus ruminantium,Streptococcus ruminantium
Elizabethkingia meningoseptica,Elizabethkingia meningoseptica
Sedimenticola endophacoides,Sedimenticola_A endophacoides
Salinicoccus albus,Salinicoccus albus
Leptospira yasudae,Leptospira yasudae
Clostridium tertium,Clostridium tertium
Saccharopolyspora soli,Saccharopolyspora soli
Leptospirillum ferrooxidans,Leptospirillum ferrooxidans
Electrothrix gigas,Electrothrix gigas
Barnesiella excrementigallinarum,Barnesiella excrementigallinarum
Borrelia miyamotoi,Borrelia miyamotoi
Bordetella holmesii,Bordetella holmesii
Paramuribaculum intestinale,Paramuribaculum intestinale
Gordonia jacobaea,Gordonia jacobaea
Xenorhabdus anantnagensis,Xenorhabdus anantnagensis
Sphingomonas caseinilyticus,Sphingomicrobium caseinilyticum
Peribacillus loiseleuriae,Peribacillus loiseleuriae
Xenorhabdus szentirmaii,Xenorhabdus szentirmaii
Bifidobacterium primatium,Galliscardovia primatium
Listeria innocua,Listeria innocua
Corynebacterium imitans,Corynebacterium imitans
Weissella kandleri,Weissella kandleri
Citrobacter farmeri,Citrobacter_A farmeri
Rubrobacter taiwanensis,Rubrobacter_C taiwanensis
Actinotignum sanguinis,Actinotignum sanguinis
Turicimonas muris,Turicimonas muris
Yersinia proxima,Yersinia proxima
Chlamydia suis,Chlamydia suis
Citrobacter cronae,Citrobacter werkmanii
Alcaligenes nematophilus,Alcaligenes phenolicus
Xylella fastidiosa,Xylella fastidiosa
Pediococcus pentosaceus,Pediococcus pentosaceus
Klebsiella quasipneumoniae,Klebsiella quasipneumoniae
Marinobacter salinexigens,Marinobacter salinexigens
Butyricimonas faecihominis,Butyricimonas faecihominis
Nitrosomonas mobilis,Nitrosomonas mobilis
Aeromonas tecta,Aeromonas tecta
