outliers
Romeria gracilis
Leptothoe ectocarpi
Dulcicalothrix elsteri
Phormidium_B ambiguum
Rippkaea sp003574135
Rippkaea sp000829235
Limnothrix rosea
Bacillus_BZ kexueae
Enterococcus_B huntleyi
Enterococcus_D testudinis
Enterococcus_A murrayae
TC1 sp001584725
NBRC-107566 sp018397995
Actinoplanes digitatus
Saccharopolyspora_C sp016526145
Saccharopolyspora sp015209505
Rhodococcoides yunnanense
Rhodococcus_F tibetensis
Lipingzhangella sp003725585
Actinacidiphila sp016756395
Streptomyces sp024435355
Kribbella sp004361855
Nocardioides flavus
Isoptericola sp023241745
Myxococcus landrumus
PRUG sp002075085
Nardonella sp004296535
Nardonella sp004296475
Nardonella sp004296515
Mikella sp900090215
Arsenophonus sp902713415
Arsenophonus sp900343025
Arsenophonus sp900343015
GCA-001602625 sp001602625
GCF-000287335 sp000287335
GCF-900161835 sp900161835
GCF-000287355 sp000287355
Blochmanniella sp009827135
Blochmanniella sp000973505
Blochmanniella sp000973545
Blochmanniella sp014857065
GCA-012562765 sp012567545
GCA-012562765 sp012567685
GCA-012562765 sp012567955
GCA-012562765 sp012568245
GCA-012562765 sp012568645
GCA-012562765 sp012568445
GCA-012562765 sp012569925
GCA-012562765 sp012569045
GCA-012562765 sp012568845
GCA-012562765 sp012569785
GCA-012562765 sp012569285
GCA-012562765 sp012569525
GCA-012562765 sp012570145
GCA-012562765 sp012570365
GCA-012562765 sp012570745
GCA-012562765 sp012571135
GCA-012562765 sp012571345
GCA-012562765 sp012571605
GCA-012562765 sp012571795
GCA-012562765 sp012563325
GCA-012562765 sp012563145
GCA-012562765 sp012562965
GCA-012562765 sp012562765
GCA-012562765 sp012562605
Pelomonas cellulosilyticus
Pelomonas caseinilyticus
Paucibacter_A aquatile
Schlegelella_A koreensis
Albitalea terrae
Aquabacterium_A pictus
Aquabacterium_A terrae
Telluria arenosa
Ralstonia edaphis
Caballeronia humilis
Limnobacter sp002954425
Pseudomonas_E carbonaria
Pseudomonas_E insulae
Pseudomonas_E composti
Pseudomonas_E guguanensis
Pseudomonas_E punonensis
Pseudomonas_E straminea
Pseudomonas_E argentinensis
Pseudomonas_E seleniipraecipitans
Pseudomonas_E dryadis
Pseudomonas_E campi
Pseudomonas_E guryensis
Pseudomonas_E ullengensis
Enterovibrio luxaltus
Enterovibrio escacola
Symbiodolus sp918320885
Glaciecola pallidula
Glaciecola nitratireducens
Coxiella sp018107685
Coxiella sp009883795
Rickettsiella_B sp019285595
Ruthia calyptogenae
Ruthia sp016592615
Ruthia sp016592595
Thiodubiliella sp900128535
Thiodubiliella sp001875585
Thiodubiliella sp900180345
Thiodubiliella sp001547755
Pseudomarimonas sp023156535
Lysobacter_C selenitireducens
Cognatiluteimonas_A profundi
Cognatiluteimonas_A telluris
Sedimenticola_A sp002020805
QGON01 sp011947365
MONJU sp000801295
GCF-000787395 sp002021095
Methyloprofundus sp019721995
Methyloprofundus sp002189065
Methyloprofundus sp900128525
Methylomarinum sp016097405
Methylomonas sp024505185
Methylomonas sp018335995
Methylomonas sp024505045
Methylomonas sp024505055
GRL18 sp016097415
RICK01 sp003932735
Wolbachia sp001931755
Wolbachia sp020405475
Wolbachia sp001439985
Wolbachia sp918342435
Wolbachia sp936270145
Wolbachia sp013366805
Wolbachia sp013365435
Wolbachia sp000008385
Wolbachia sp020278625
Wolbachia sp000829315
Wolbachia sp013365495
Wolbachia sp013365475
Wolbachia sp000306885
Wolbachia sp013365455
Wolbachia sp012277315
Wolbachia sp012277295
Wolbachia sp003516275
Wolbachia sp025021925
Jidaibacter sp000730245
RICK02 sp004210275
Paracaedibacter acanthamoebae
Sphingomonas alpina_A
Sphingomonas sp016427505
Taklimakanibacter sp016595235
Pseudovibrio hongkongensis
Pseudovibrio stylochi
Pannonibacter sp009915765
CSK15Z-1 sp024519155
Bartonella sp023500045
Aquamicrobium_A microcysteis
Aquamicrobium_A aerolatum
Mesorhizobium_D ephedrae
Mesorhizobium_F albiziae
Mesorhizobium composti
Mesorhizobium manganicum
Pseudaminobacter arsenicus
Pseudaminobacter camelthorni
Neorhizobium smilacinae
Pseudohoeflea sp019334345
Amylibacter cionae
Amylibacter ulvae
Amylibacter kogurei
Roseobacter sp020622345
Sulfitobacter_F algicola
Roseibacterium elongatum
Rhodobacter_B lobularis
Pseudorhodobacter_B sp000176015
Gemmobacter_D aestuarii
Gemmobacter_C tilapiae
Gemmobacter_B aquarius
Gemmobacter_B straminiformis
Gemmobacter_B amnigenus
Gemmobacter_B ruber
Gemmobacter_B kunshanensis
Tabrizicola sp004762095
Tabrizicola_B rongguiensis
Sedimentimonas sp021378075
TMPK1 sp018332375
Azospirillum lipoferum_B
Skermanella sp016653635
Pseudoroseomonas oryzae
Pseudoroseomonas vastitatis
Pseudoroseomonas coralli
Pseudoroseomonas cervicalis
Pseudoroseomonas aestuarii
Pseudoroseomonas rhizosphaerae
Pseudoroseomonas deserti
Pseudoroseomonas aerophila
Pseudoroseomonas wenyumeiae
Roseomonas sp020991085
Roseomonas aerilata
Roseomonas nepalensis
Roseomonas harenae
Roseomonas rosea
Roseomonas pecuniae
Campylobacter_A sp004803835
Korobacter versatilis_A
Chitinophaga terrae
Tamlana_C onchidii
Tamlana_A haliotis
Tamlana_A carrageenivorans
Tamlana_A agarivorans
Tamlana_B laminarinivorans
Tamlana_B sargassicola
Tamlana_B sedimentorum
Tamlana_B nanhaiensis
Aequorivita sp004022485
Flagellimonas ruestringensis
Flavobacterium marinum
Parabacteroides distasonis_B
G019856515 sp019856515
G019856515 sp019720755
Pan216 sp007748055
GCA-2862085 sp007751475
Pla163 sp007750655
