"Species","ID","Strain","RefStrain","Gene","Assembly_ID","NCBI_Reference_sequence","Strain_name","FASTA_name"
"Bacillus pumilus","706851","SAFR-032",TRUE,"rpsL","ASM1788v4","NC_009848.4","SAFR-032","rpsL_Bacillus_pumilus_SAFR-032"
"Bacillus subtilis","30588","168",TRUE,"rpsL","ASM904v1","NC_000964.3","168","rpsL_Bacillus_subtilis_168"
"Bifidobacterium bifidum","9806071","CNCM I-4319",TRUE,"rpsL","ASM1789432v1","NZ_CP058603.1","CNCM_I-4319","rpsL_Bifidobacterium_bifidum_CNCM_I-4319"
"Bifidobacterium breve","348771","JCM 1192",TRUE,"rpsL","ASM102517v1","NZ_AP012324.1","JCM_1192","rpsL_Bifidobacterium_breve_JCM_1192"
"Borreliella burgdorferi","443478","Bol26",TRUE,"rpsL","ASM18157v2","NZ_ABCW02000004.1","Bol26","rpsL_Borreliella_burgdorferi_Bol26"
"Brucella melitensis","28708","16M",TRUE,"rpsL","ASM712v1","NC_003318.1","16M","rpsL_Brucella_melitensis_16M"
"Campylobacter coli","5379081","FDAARGOS_735",TRUE,"rpsL","ASM973039v1","NZ_CP046318.1","FDAARGOS_735","rpsL_Campylobacter_coli_FDAARGOS_735"
"Campylobacter jejuni","30628","NCTC 11168",TRUE,"rpsL","ASM908v1","NC_002163.1","NCTC_11168","rpsL_Campylobacter_jejuni_NCTC_11168"
"Campylobacter upsaliensis","7294911","RM3940",TRUE,"rpsL","ASM1337224v1","NZ_CP053849.1","RM3940","rpsL_Campylobacter_upsaliensis_RM3940"
"Clavibacter michiganensis","11629521","LMG7333",TRUE,"rpsL","ASM2121665v1","NZ_CP080439.1","LMG7333","rpsL_Clavibacter_michiganensis_LMG7333"
"Corynebacterium glutamicum","32488","ATCC 13032",TRUE,"rpsL","ASM1132v1","NC_003450.3","ATCC_13032","rpsL_Corynebacterium_glutamicum_ATCC_13032"
"Deinococcus geothermalis","264718","DSM 11300",TRUE,"rpsL","ASM19627v1","NC_009939.1","DSM_11300","rpsL_Deinococcus_geothermalis_DSM_11300"
"Erwinia amylovora","63604958","EaSmR",TRUE,"rpsL","ASM4322886v1","NZ_CP171268.1","EaSmR","rpsL_Erwinia_amylovora_EaSmR"
"Erwinia pyrifoliae","1594651","EpK1/15",TRUE,"rpsL","ASM295231v1","NZ_CP023568.1","EpK1/15","rpsL_Erwinia_pyrifoliae_EpK1/15"
"Escherichia coli","79781","MG1655",TRUE,"rpsL","ASM584v2","NC_000913.3","MG1655","rpsL_Escherichia_coli_MG1655"
"Glaesserella parasuis","9524291","YHP1818",TRUE,"rpsL","ASM1735223v1","NZ_CP071488.1","YHP1818","rpsL_Glaesserella_parasuis_YHP1818"
"Klebsiella pneumoniae","360158","HS11286",TRUE,"rpsL","ASM24018v2","NC_016845.1","HS11286","rpsL_Klebsiella_pneumoniae_HS11286"
"Lactiplantibacillus plantarum","5488261","SRCM100442",TRUE,"rpsL","ASM991365v1","NZ_CP028221.1","SRCM100442","rpsL_Lactiplantibacillus_plantarum_SRCM100442"
"Legionella pneumophila","946481","Philadelphia-1",TRUE,"rpsL","ASM194158v1","NZ_CP013742.1","Philadelphia-1","rpsL_Legionella_pneumophila_Philadelphia-1"
"Lysinibacillus sphaericus","1623371","DSM 28",TRUE,"rpsL","ASM298211v1","NZ_CP019980.1","DSM_28","rpsL_Lysinibacillus_sphaericus_DSM_28"
"Macrococcoides caseolyticum","8819811","FDAARGOS_868",TRUE,"rpsL","ASM1602879v1","NZ_CP065730.1","FDAARGOS_868","rpsL_Macrococcoides_caseolyticum_FDAARGOS_868"
"Mycobacterium avium","23089191","OCU889s_P11_4s",TRUE,"rpsL","ASM2217558v2","NZ_CP018019.2","OCU889s_P11_4s","rpsL_Mycobacterium_avium_OCU889s_P11_4s"
"Mycobacterium kansasii","80111","ATCC 12478",TRUE,"rpsL","ASM15789v2","NC_022663.1","ATCC_12478","rpsL_Mycobacterium_kansasii_ATCC_12478"
"Mycobacterium tuberculosis","538048","H37Rv",TRUE,"rpsL","ASM19595v2","NC_000962.3","H37Rv","rpsL_Mycobacterium_tuberculosis_H37Rv"
"Mycobacterium tuberculosis variant bovis","63254058","2023/0113",FALSE,"rpsL","MBWGS366","NZ_CP160832.1","2023/0113","rpsL_Mycobacterium_tuberculosis_variant_bovis_2023/0113"
"Mycolicibacterium smegmatis","12208971","Jucho",TRUE,"rpsL","ASM2237041v1","NZ_CP080274.1","Jucho","rpsL_Mycolicibacterium_smegmatis_Jucho"
"Paenibacillus agaridevorans","10167751","HCL2020",TRUE,"rpsL","ASM1860414v1","NZ_CP075889.1","HCL2020","rpsL_Paenibacillus_agaridevorans_HCL2020"
"Pectobacterium carotovorum","7392621","WPP14",TRUE,"rpsL","ASM1348802v1","NZ_CP051652.1","WPP14","rpsL_Pectobacterium_carotovorum_WPP14"
"Pseudomonas putida","707668","NBRC 14164",TRUE,"rpsL","ASM41267v1","NC_021505.1","NBRC_14164","rpsL_Pseudomonas_putida_NBRC_14164"
"Riemerella anatipestifer","275568","DSM 15868",TRUE,"rpsL","ASM18315v1","NC_014738.1","DSM_15868","rpsL_Riemerella_anatipestifer_DSM_15868"
"Saccharopolyspora erythraea","22553611","JCM 10303",TRUE,"rpsL","ASM3952457v1","NZ_BAAAGS010000071.1","JCM_10303","rpsL_Saccharopolyspora_erythraea_JCM_10303"
"Salmonella enterica subsp. enterica serovar Enteritidis","65719608","S-28539",FALSE,"rpsL","ASM4503795v1","NZ_CP173658.1","S-28539","rpsL_Salmonella_enterica_subsp._enterica_serovar_Enteritidis_S-28539"
"Salmonella enterica subsp. enterica serovar Typhimurium","619341","LT2",TRUE,"rpsL","ASM694v2","NC_003277.2","LT2","rpsL_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_LT2"
"Streptomyces albus","13539121","DSM 40763",TRUE,"rpsL","ASM2475253v1","NZ_CP103061.1","DSM_40763","rpsL_Streptomyces_albus_DSM_40763"
"Streptomyces antibioticus","14488471","NBC_01273",TRUE,"rpsL","ASM2634066v1","NZ_JAPEOY010000011.1","NBC_01273","rpsL_Streptomyces_antibioticus_NBC_01273"
"Streptomyces avermitilis","709531","MA-4680",TRUE,"rpsL","ASM976v2","NC_003155.5","MA-4680","rpsL_Streptomyces_avermitilis_MA-4680"
"Streptomyces coelicolor","7252371","M1154/pAMX4",FALSE,"rpsL","ASM1330704v1","NZ_JAATOK010000033.1","M1154/pAMX4","rpsL_Streptomyces_coelicolor_M1154/pAMX4"
"Streptomyces cyanogenus","9609691","S136",TRUE,"rpsL","ASM1752610v1","NZ_CP071839.1","S136","rpsL_Streptomyces_cyanogenus_S136"
"Streptomyces filamentosus","4690431","ATCC 23958",TRUE,"rpsL","ASM863401v1","NZ_PDCL01000002.1","ATCC_23958","rpsL_Streptomyces_filamentosus_ATCC_23958"
