"Species","ID","Strain","RefStrain","Gene","Assembly_ID","NCBI_Reference_sequence","Strain_name","FASTA_name"
"Borreliella burgdorferi","443478","Bol26",TRUE,"rrs","ASM18157v2","NZ_ABCW02000004.1","Bol26","rrs_Borreliella_burgdorferi_Bol26"
"Escherichia coli","79781","MG1655",TRUE,"rrs","ASM584v2","NC_000913.3","MG1655","rrs_Escherichia_coli_MG1655"
"Mycobacterium tuberculosis","538048","H37Rv",TRUE,"rrs","ASM19595v2","NC_000962.3","H37Rv","rrs_Mycobacterium_tuberculosis_H37Rv"
"Mycobacterium tuberculosis variant bovis","63254058","2023/0113",FALSE,"rrs","MBWGS366","NZ_CP160832.1","2023/0113","rrs_Mycobacterium_tuberculosis_variant_bovis_2023/0113"
"Mycolicibacterium smegmatis","12208971","Jucho",TRUE,"rrs","ASM2237041v1","NZ_CP080274.1","Jucho","rrs_Mycolicibacterium_smegmatis_Jucho"
"Salmonella enterica subsp. enterica serovar Derby","23660901","SA97",FALSE,"rrs","ASM4173005v1","NZ_JBGSHC010000003.1","SA97","rrs_Salmonella_enterica_subsp._enterica_serovar_Derby_SA97"
"Salmonella enterica subsp. enterica serovar Give","55939518","CFSAN001314",FALSE,"rrs","ASM48721v2","NZ_CP149432.1","CFSAN001314","rrs_Salmonella_enterica_subsp._enterica_serovar_Give_CFSAN001314"
"Salmonella enterica subsp. enterica serovar Indiana","66015988","SJTUF14184V2",FALSE,"rrs","ASM4527891v1","NZ_CP145804.1","SJTUF14184V2","rrs_Salmonella_enterica_subsp._enterica_serovar_Indiana_SJTUF14184V2"
"Salmonella enterica subsp. enterica serovar Typhimurium","619341","LT2",TRUE,"rrs","ASM694v2","NC_003277.2","LT2","rrs_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_LT2"
"Thermus thermophilus","113978","HB8",TRUE,"rrs","ASM9154v1","NC_006461.1","HB8","rrs_Thermus_thermophilus_HB8"
