class,phylum,n,n_res,f_res
Acidimicrobiia,Actinomycetota,14,5,0.35714285714285715
Acidithiobacillia,Pseudomonadota,18,0,0
Actinomycetes,Actinomycetota,4288,112,0.026119402985074626
Alphaproteobacteria,Pseudomonadota,3157,883,0.2796959138422553
Anaerolineae,Chloroflexota,5,0,0
Aquificia,Aquificota,24,0,0
Armatimonadia,Armatimonadota,2,0,0
Atribacteria,Atribacterota,3,0,0
Bacilli,Bacillota,2311,110,0.04759844223279965
Bacteriovoracia,Bdellovibrionota,5,0,0
Bacteroidia,Bacteroidota,345,3,0.008695652173913044
Balneolia,Balneolota,20,0,0
Bdellovibrionia,Bdellovibrionota,5,0,0
Betaproteobacteria,Pseudomonadota,1211,9,0.007431874483897605
Blastocatellia,Acidobacteriota,1,0,0
Caldilineae,Chloroflexota,2,0,0
Caldisericia,Caldisericota,1,0,0
Calditrichia,Calditrichota,1,0,0
Candidatus Thermofonsia,Chloroflexota,1,0,0
Chitinivibrionia,Fibrobacterota,1,0,0
Chitinophagia,Bacteroidota,155,0,0
Chlamydiia,Chlamydiota,23,0,0
Chlorobiia,Chlorobiota,14,0,0
Chloroflexia,Chloroflexota,2,0,0
Chrysiogenia,Chrysiogenota,3,0,0
Chthonomonadia,Armatimonadota,1,0,0
Clostridia,Bacillota,887,15,0.016910935738444193
Coprothermobacteria,Coprothermobacterota,2,0,0
Coriobacteriia,Actinomycetota,97,56,0.5773195876288659
Culicoidibacteria,Bacillota,1,0,0
Cyanophyceae,Cyanobacteriota,223,0,0
Cytophagia,Bacteroidota,496,0,0
Deferribacteres,Deferribacterota,11,1,0.09090909090909091
Deferrisomatia,Thermodesulfobacteriota,1,0,0
Dehalococcoidia,Chloroflexota,2,0,0
Deinococci,Deinococcota,129,3,0.023255813953488372
Deltaproteobacteria,NA,8,0,0
Desulfarculia,Thermodesulfobacteriota,3,0,0
Desulfobaccia,Thermodesulfobacteriota,1,0,0
Desulfobacteria,Thermodesulfobacteriota,37,0,0
Desulfobulbia,Thermodesulfobacteriota,24,1,0.041666666666666664
Desulfomonilia,Thermodesulfobacteriota,1,0,0
Desulfovibrionia,Thermodesulfobacteriota,97,0,0
Desulfurellia,Campylobacterota,5,0,0
Desulfuribacillia,Bacillota,2,0,0
Desulfuromonadia,Thermodesulfobacteriota,56,0,0
Dethiobacteria,Bacillota,1,0,0
Dictyoglomia,Dictyoglomota,2,0,0
Dissulfuribacteria,Thermodesulfobacteriota,1,0,0
Elusimicrobia,Elusimicrobiota,1,0,0
Endomicrobiia,Elusimicrobiota,1,0,0
Epsilonproteobacteria,Campylobacterota,192,13,0.06770833333333333
Erysipelotrichia,Bacillota,61,0,0
Fibrobacteria,Fibrobacterota,4,0,0
Fidelibacteria,Fidelibacterota,1,0,0
Fimbriimonadia,Armatimonadota,1,0,0
Flavobacteriia,Bacteroidota,1216,0,0
Fusobacteriia,Fusobacteriota,51,0,0
Gammaproteobacteria,Pseudomonadota,3237,6,0.0018535681186283596
Gemmatimonadia,Gemmatimonadota,6,0,0
Holophagae,Acidobacteriota,18,0,0
Hydrogenophilia,Pseudomonadota,8,0,0
Ignavibacteria,Ignavibacteriota,5,0,0
Kiritimatiellia,Kiritimatiellota,4,0,0
Lentisphaeria,Lentisphaerota,5,5,1
Limnochordia,Bacillota,2,0,0
Longimicrobiia,Gemmatimonadota,2,0,0
Magnetococcia,Pseudomonadota,2,0,0
Mollicutes,Mycoplasmatota,111,0,0
Myxococcia,Myxococcota,61,0,0
Negativicutes,Bacillota,113,0,0
Nitriliruptoria,Actinomycetota,8,2,0.25
Nitrospinia,Nitrospinota,2,0,0
Nitrospiria,Nitrospirota,7,0,0
Oligoflexia,Bdellovibrionota,9,0,0
Oligosphaeria,Lentisphaerota,1,1,1
Opitutia,Verrucomicrobiota,31,0,0
Phycisphaerae,Planctomycetota,10,10,1
Planctomycetia,Planctomycetota,126,126,1
Rhodothermia,Rhodothermota,14,0,0
Rubrobacteria,Actinomycetota,9,0,0
Saprospiria,Bacteroidota,21,0,0
Spartobacteria,Verrucomicrobiota,1,0,0
Sphingobacteriia,Bacteroidota,265,0,0
Spirochaetia,Spirochaetota,177,6,0.03389830508474576
Synergistia,Synergistota,25,0,0
Syntrophia,Thermodesulfobacteriota,2,0,0
Syntrophobacteria,Thermodesulfobacteriota,8,0,0
Syntrophorhabdia,Thermodesulfobacteriota,1,0,0
Terriglobia,Acidobacteriota,46,0,0
Terrimicrobiia,Verrucomicrobiota,1,0,0
Thermoanaerobaculia,Acidobacteriota,1,0,0
Thermodesulfobacteria,Thermodesulfobacteriota,12,6,0.5
Thermodesulfobiia,Thermodesulfobiota,2,0,0
Thermodesulfovibrionia,Nitrospirota,7,0,0
Thermoleophilia,Actinomycetota,23,2,0.08695652173913043
Thermomicrobia,Thermomicrobiota,2,0,0
Thermosulfidibacteria,Thermosulfidibacterota,1,0,0
Thermotogae,Thermotogota,44,2,0.045454545454545456
Tichowtungiia,Kiritimatiellota,1,0,0
Tissierellia,Bacillota,105,5,0.047619047619047616
Verrucomicrobiia,Verrucomicrobiota,44,1,0.022727272727272728
Vicinamibacteria,Acidobacteriota,1,0,0
Zetaproteobacteria,Pseudomonadota,6,0,0
NA,Bacillota,4,0,0
NA,Cyanobacteriota,1,0,0
NA,Mycoplasmatota,13,0,0
NA,Myxococcota,21,0,0
NA,Verrucomicrobiota,2,0,0
NA,NA,471,34,0.07218683651804671
