family,order,class,phylum,n,n_res,f_res
Abyssicoccaceae,Bacillales,Bacilli,Bacillota,1,0,0
Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,2,0,0
Acaryochloridaceae,Acaryochloridales,Cyanophyceae,Cyanobacteriota,2,0,0
Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,150,0,0
Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,3,0,0
Acetonemataceae,NA,Negativicutes,Bacillota,3,0,0
Acholeplasmataceae,Acholeplasmatales,Mollicutes,Mycoplasmatota,5,0,0
Acidaminobacteraceae,Peptostreptococcales,Clostridia,Bacillota,1,0,0
Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,10,0,0
Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,3,0,0
Acidilutibacteraceae,Tissierellales,Tissierellia,Bacillota,1,0,0
Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,5,0,0
Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Pseudomonadota,16,0,0
Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,44,0,0
Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,12,0,0
Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,1,0,0
Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,114,9,0.07894736842105263
Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,5,5,1
Actinopolysporaceae,Actinopolysporales,Actinomycetes,Actinomycetota,10,0,0
Actinospicaceae,Catenulisporales,Actinomycetes,Actinomycetota,4,0,0
Acutalibacteraceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Aerococcaceae,Lactobacillales,Bacilli,Bacillota,30,2,0.06666666666666667
Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,58,0,0
Aerosakkonemataceae,Aerosakkonematales,Cyanophyceae,Cyanobacteriota,6,0,0
Aestuariirhabdaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,2,0,0
Aestuariivirgaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,4,0,0
Afifellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,4,0,0
Ahrensiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,8,0,0
Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,4,1,0.25
Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,112,3,0.026785714285714284
Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,27,0,0
Algiphilaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,2,0,0
Alicyclobacillaceae,Bacillales,Bacilli,Bacillota,43,0,0
Aliterellaceae,Chroococcidiopsidales,Cyanophyceae,Cyanobacteriota,1,0,0
Alsobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,95,0,0
Aminiphilaceae,Synergistales,Synergistia,Synergistota,1,0,0
Aminithiophilaceae,Synergistales,Synergistia,Synergistota,1,0,0
Aminobacteriaceae,Synergistales,Synergistia,Synergistota,4,0,0
Amorphaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,7,0,0
Anaerobacaceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,1,1,1
Anaerohalosphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,1,1,1
Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexota,5,0,0
Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota,7,0,0
Anaerosomataceae,Anaerosomatales,Coriobacteriia,Actinomycetota,2,0,0
Anaerotignaceae,Lachnospirales,Clostridia,Bacillota,4,0,0
Anaerovoracaceae,Peptostreptococcales,Clostridia,Bacillota,24,2,0.08333333333333333
Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,312,293,0.9391025641025641
Ancalomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,4,0,0
Anoxybacillaceae,Bacillales,Bacilli,Bacillota,36,0,0
Anthocerotibacteraceae,Gloeobacterales,Cyanophyceae,Cyanobacteriota,1,0,0
Antricoccaceae,Geodermatophilales,Actinomycetes,Actinomycetota,1,0,0
Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteriota,15,0,0
Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteriota,12,0,0
Aquaspirillaceae,Neisseriales,Betaproteobacteria,Pseudomonadota,4,0,0
Aquificaceae,Aquificales,Aquificia,Aquificota,8,0,0
Archangiaceae,Myxococcales,Myxococcia,Myxococcota,17,0,0
Arcobacteraceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,38,0,0
Arenicellaceae,Arenicellales,Gammaproteobacteria,Pseudomonadota,2,0,0
Aristaeellaceae,Eubacteriales,Clostridia,Bacillota,2,2,1
Armatimonadaceae,Armatimonadales,Armatimonadia,Armatimonadota,1,0,0
Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,27,27,1
Atribacteraceae,Atribacterales,Atribacteria,Atribacterota,1,0,0
Atrimonadaceae,Atribacterales,Atribacteria,Atribacterota,1,0,0
Aurantibacillaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidota,1,0,0
Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,41,0,0
Azonexaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,10,0,0
Azospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,44,1,0.022727272727272728
Bacillaceae,Bacillales,Bacilli,Bacillota,717,12,0.016736401673640166
Bacillales Family X. Incertae Sedis,Bacillales,Bacilli,Bacillota,2,0,0
Bacteriovoracaceae,Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,3,0,0
Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,79,1,0.012658227848101266
Baekduiaceae,Solirubrobacterales,Thermoleophilia,Actinomycetota,3,0,0
Balneatrichaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,2,0,0
Balneicellaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Balneolaceae,Balneolales,Balneolia,Balneolota,18,0,0
Barnesiellaceae,Bacteroidales,Bacteroidia,Bacteroidota,6,0,0
Bartonellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,52,1,0.019230769230769232
Beduinellaceae,Eubacteriales,Clostridia,Bacillota,1,1,1
Beijerinckiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,10,0,0
Bernardetiaceae,Cytophagales,Cytophagia,Bacteroidota,2,0,0
Beutenbergiaceae,Micrococcales,Actinomycetes,Actinomycetota,6,1,0.16666666666666666
Bianqueaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Bifidobacteriaceae,Bifidobacteriales,Actinomycetes,Actinomycetota,129,2,0.015503875968992248
Blastochloridaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Blattabacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,3,0,0
Bogoriellaceae,Micrococcales,Actinomycetes,Actinomycetota,14,0,0
Borreliaceae,Spirochaetales,Spirochaetia,Spirochaetota,35,1,0.02857142857142857
Boseaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,14,0,0
Brachyspiraceae,Brachyspirales,Spirochaetia,Spirochaetota,11,1,0.09090909090909091
Bradymonadaceae,Bradymonadales,Deltaproteobacteria,NA,2,0,0
Brevibacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,43,1,0.023255813953488372
Brevinemataceae,Brevinematales,Spirochaetia,Spirochaetota,1,0,0
Breznakiellaceae,Spirochaetales,Spirochaetia,Spirochaetota,3,0,0
Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,44,0,0
Bruguierivoracaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,5,0,0
Bryobacteraceae,Bryobacterales,Terriglobia,Acidobacteriota,2,0,0
Budviciaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,10,0,0
Burkholderiaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,302,0,0
Butyricicoccaceae,Eubacteriales,Clostridia,Bacillota,11,0,0
Calderihabitantaceae,Moorellales,Clostridia,Bacillota,1,0,0
Caldicellulosiruptoraceae,Caldicellulosiruptorales,Clostridia,Bacillota,1,0,0
Caldicoprobacteraceae,Caldicoprobacterales,Clostridia,Bacillota,3,0,0
Caldilineaceae,Caldilineales,Caldilineae,Chloroflexota,2,0,0
Caldisericaceae,Caldisericales,Caldisericia,Caldisericota,1,0,0
Calditerrivibrionaceae,Deferribacterales,Deferribacteres,Deferribacterota,1,0,0
Calditrichaceae,Calditrichales,Calditrichia,Calditrichota,1,0,0
Calotrichaceae,Nostocales,Cyanophyceae,Cyanobacteriota,5,0,0
Caminicellaceae,Peptostreptococcales,Clostridia,Bacillota,3,0,0
Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,52,7,0.1346153846153846
Candidatus Competibacteraceae,NA,Gammaproteobacteria,Pseudomonadota,2,0,0
Capillimicrobiaceae,Solirubrobacterales,Thermoleophilia,Actinomycetota,1,0,0
Capsulimonadaceae,Capsulimonadales,Armatimonadia,Armatimonadota,1,0,0
Carbonactinosporaceae,Kitasatosporales,Actinomycetes,Actinomycetota,1,0,0
