genus,family,order,class,phylum,n,n_res,f_res
Abyssalbus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Abyssibacter,Oceanococcaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Abyssibius,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Abyssogena,NA,NA,NA,NA,1,0,0
Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,1,0,0
Acaricomes,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Acaryochloris,Acaryochloridaceae,Acaryochloridales,Cyanophyceae,Cyanobacteriota,2,0,0
Acerihabitans,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Aceticella,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Bacillota,1,0,0
Acetobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,36,0,0
Acetobacterium,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,9,0,0
Acetohalobium,Halobacteroidaceae,Halanaerobiales,Clostridia,Bacillota,1,0,0
Acetomicrobium,Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,3,0,0
Acetonema,Acetonemataceae,NA,Negativicutes,Bacillota,1,0,0
Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,22,0,0
Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,6,0,0
Acidibrevibacterium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Acidicapsa,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,2,0,0
Acidiferrobacter,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Acidihalobacter,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,4,0,0
Acidiluteibacter,Cryomorphaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Acidimangrovimonas,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Acidiphilium,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,5,0,0
Acidipropionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,5,0,0
Acidisarcina,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,1,0,0
Acidisoma,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,3,0,0
Acidisphaera,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aciditerrimonas,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Pseudomonadota,15,0,0
Acidithrix,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Acidobacterium,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,1,0,0
Acidocella,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,4,0,0
Acidomonas,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Acidothermus,Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,1,0,0
Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,13,0,0
Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,94,0,0
Acrocarpospora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,5,0,0
