order,class,phylum,n,n_res,f_res
Acanthopleuribacterales,Holophagae,Acidobacteriota,2,0,0
Acaryochloridales,Cyanophyceae,Cyanobacteriota,2,0,0
Acetobacterales,Alphaproteobacteria,Pseudomonadota,216,0,0
Acidaminococcales,Negativicutes,Bacillota,10,0,0
Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,3,0,0
Acidimicrobiales,Acidimicrobiia,Actinomycetota,14,5,0.35714285714285715
Acidithiobacillales,Acidithiobacillia,Pseudomonadota,18,0,0
Acidothermales,Actinomycetes,Actinomycetota,1,0,0
Actinomycetales,Actinomycetes,Actinomycetota,113,9,0.07964601769911504
Actinopolysporales,Actinomycetes,Actinomycetota,10,0,0
Aeromonadales,Gammaproteobacteria,Pseudomonadota,65,1,0.015384615384615385
Aerosakkonematales,Cyanophyceae,Cyanobacteriota,6,0,0
Alteromonadales,Gammaproteobacteria,Pseudomonadota,379,0,0
Anaerosomatales,Coriobacteriia,Actinomycetota,2,0,0
Aquificales,Aquificia,Aquificota,9,0,0
Arenicellales,Gammaproteobacteria,Pseudomonadota,2,0,0
Atribacterales,Atribacteria,Atribacterota,3,0,0
Bacillales,Bacilli,Bacillota,13,0,0
Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,5,0,0
Bacteroidales,Bacteroidia,Bacteroidota,165,1,0.006060606060606061
Balneolales,Balneolia,Balneolota,20,0,0
Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,5,0,0
Bifidobacteriales,Actinomycetes,Actinomycetota,129,2,0.015503875968992248
Blastocatellales,Blastocatellia,Acidobacteriota,1,0,0
Brachyspirales,Spirochaetia,Spirochaetota,1,0,0
Bradymonadales,Deltaproteobacteria,NA,6,0,0
Brevinematales,Spirochaetia,Spirochaetota,2,0,0
Bryobacterales,Terriglobia,Acidobacteriota,1,0,0
Burkholderiales,Betaproteobacteria,Pseudomonadota,906,6,0.006622516556291391
Caldicoprobacterales,Clostridia,Bacillota,4,1,0.25
Caldisericales,Caldisericia,Caldisericota,1,0,0
Calditrichales,Calditrichia,Calditrichota,1,0,0
Campylobacterales,Epsilonproteobacteria,Campylobacterota,135,8,0.05925925925925926
