class,phylum,gene,n,n_res,f_res
Acidimicrobiia,Actinomycetota,rpsL,14,5,0.35714285714285715
Actinomycetes,Actinomycetota,rpsL,3913,96,0.024533605928954767
Alphaproteobacteria,Pseudomonadota,rpsL,2920,843,0.2886986301369863
Aquificia,Aquificota,rpsL,17,0,0
Atribacteria,Atribacterota,rpsL,2,0,0
Bacilli,Bacillota,rpsL,39,0,0
Bacteriovoracia,Bdellovibrionota,rpsL,5,0,0
Bacteroidia,Bacteroidota,rpsL,1392,1,7.183908045977011e-4
Bdellovibrionia,Bdellovibrionota,rpsL,4,0,0
Blastocatellia,Acidobacteriota,rpsL,1,0,0
Brachyspiria,Spirochaetota,rpsL,1,0,0
Bradymonadia,Myxococcota,rpsL,6,0,0
Brevinematia,Spirochaetota,rpsL,2,0,0
Caldisericia,Caldisericota,rpsL,1,0,0
Calditrichia,Calditrichota,rpsL,1,0,0
Campylobacteria,Campylobacterota,rpsL,143,8,0.055944055944055944
Chitinivibrionia,Fibrobacterota,rpsL,1,0,0
Chlamydiia,Chlamydiota,rpsL,22,0,0
Chlorobiia,Bacteroidota_A,rpsL,12,0,0
Chrysiogenetes,Chrysiogenota,rpsL,3,0,0
Chthonomonadetes,Armatimonadota,rpsL,1,0,0
Clostridia,Bacillota,rpsL,216,5,0.023148148148148147
Coprothermobacteria,Coprothermobacterota,rpsL,1,0,0
Coriobacteriia,Actinomycetota,rpsL,95,54,0.5684210526315789
Cyanobacteriia,Cyanobacteriota,rpsL,178,0,0
DSM-12270,Bacillota,rpsL,2,0,0
DSM-16504,Bacillota,rpsL,1,0,0
DSM-4660,Desulfobacterota,rpsL,1,0,0
DUOV01,Bacillota,rpsL,1,0,0
Deferribacteres,Chrysiogenota,rpsL,11,1,0.09090909090909091
Deferrisomatia,Desulfobacterota_C,rpsL,1,0,0
Dehalobacteriia,Bacillota,rpsL,1,0,0
Deinococci,Deinococcota,rpsL,21,2,0.09523809523809523
Desulfarculia,Desulfobacterota,rpsL,3,0,0
Desulfitobacteriia,Bacillota,rpsL,5,0,0
Desulfobaccia,Desulfobacterota,rpsL,1,0,0
Desulfobacteria,Desulfobacterota,rpsL,36,0,0
Desulfobulbia,Desulfobacterota,rpsL,22,1,0.045454545454545456
Desulfomonilia,Desulfobacterota,rpsL,1,0,0
Desulfotomaculia,Bacillota,rpsL,28,0,0
Desulfovibrionia,Desulfobacterota_I,rpsL,94,0,0
Desulfurellia,Campylobacterota,rpsL,3,0,0
Desulfuromonadia,Desulfobacterota,rpsL,52,0,0
Dethiobacteria,Bacillota,rpsL,1,0,0
Dictyoglomia,Dictyoglomota,rpsL,2,0,0
Dissulfuribacteria,Desulfobacterota,rpsL,3,0,0
Elusimicrobia,Elusimicrobiota,rpsL,1,0,0
Endomicrobiia,Elusimicrobiota,rpsL,1,0,0
Fibrobacteria,Fibrobacterota,rpsL,3,0,0
Fusobacteriia,Fusobacteriota,rpsL,49,0,0
GCA-003054495,Bacillota,rpsL,1,0,0
Gammaproteobacteria,Pseudomonadota,rpsL,4230,14,0.003309692671394799
Gemmatimonadetes,Gemmatimonadota,rpsL,3,0,0
Halanaerobiia,Bacillota,rpsL,23,0,0
Holophagae,Acidobacteriota,rpsL,3,0,0
Ignavibacteria,Bacteroidota_A,rpsL,5,0,0
JADQBR01,Bacillota,rpsL,1,0,0
KKC1,Bacillota,rpsL,1,0,0
Kiritimatiellia,Verrucomicrobiota,rpsL,5,0,0
Lentisphaeria,Verrucomicrobiota,rpsL,3,3,1
Leptospiria,Spirochaetota,rpsL,75,0,0
Leptospirillia,Nitrospirota_A,rpsL,2,0,0
Magnetococcia,Pseudomonadota,rpsL,2,0,0
Moorellia,Bacillota,rpsL,7,0,0
Myxococcia,Myxococcota,rpsL,52,0,0
Natranaerobiia,Bacillota,rpsL,3,0,0
Negativicutes,Bacillota,rpsL,109,0,0
Nitriliruptoria,Actinomycetota,rpsL,8,2,0.25
Nitrospinia,Nitrospinota,rpsL,2,0,0
Oligoflexia,Bdellovibrionota_B,rpsL,2,0,0
Peptococcia,Bacillota,rpsL,4,2,0.5
Phycisphaerae,Planctomycetota,rpsL,8,8,1
Planctomycetia,Planctomycetota,rpsL,69,69,1
Polyangia,Myxococcota,rpsL,22,0,0
Proteinivoracia,Bacillota,rpsL,5,0,0
Rhodothermia,Bacteroidota_A,rpsL,34,0,0
Rubrobacteria,Actinomycetota,rpsL,9,0,0
Spirochaetia,Spirochaetota,rpsL,80,2,0.025
Symbiobacteriia,Bacillota,rpsL,2,0,0
Synergistia,Synergistota,rpsL,25,0,0
Syntrophia,Desulfobacterota,rpsL,2,0,0
Syntrophobacteria,Desulfobacterota,rpsL,8,0,0
Syntrophomonadia,Bacillota,rpsL,5,0,0
Syntrophorhabdia,Desulfobacterota_G,rpsL,1,0,0
Terriglobia,Acidobacteriota,rpsL,27,0,0
Thermaerobacteria,Bacillota,rpsL,2,0,0
Thermincolia,Bacillota,rpsL,2,0,0
Thermoanaerobacteria,Bacillota,rpsL,19,0,0
Thermoanaerobaculia,Acidobacteriota,rpsL,1,0,0
Thermodesulfobacteria,Desulfobacterota,rpsL,12,6,0.5
Thermodesulfobiia,Thermodesulfobiota,rpsL,2,0,0
Thermodesulfovibrionia,Nitrospirota,rpsL,7,0,0
Thermoleophilia,Actinomycetota,rpsL,4,2,0.5
Thermosediminibacteria,Bacillota,rpsL,8,0,0
Thermosulfidibacteria,Thermosulfidibacterota,rpsL,1,0,0
Thermotogae,Thermotogota,rpsL,30,0,0
Verrucomicrobiia,Verrucomicrobiota,rpsL,36,1,0.027777777777777776
Vicinamibacteria,Acidobacteriota,rpsL,1,0,0
Z-2901,Bacillota,rpsL,4,0,0
Zetaproteobacteria,Pseudomonadota,rpsL,6,0,0
NA,NA,rpsL,1418,65,0.045839210155148094
