family,order,class,phylum,gene,n,n_res,f_res
AKS1,AKS1,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
ASO4-4,Desulfobacterales,Desulfobacteria,Desulfobacterota,rpsL,3,0,0
Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,rpsL,2,0,0
Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rpsL,195,0,0
Acetohalobiaceae,Halobacteroidales,Halanaerobiia,Bacillota,rpsL,4,0,0
Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,rpsL,3,0,0
Acetonemataceae,Sporomusales,Negativicutes,Bacillota,rpsL,2,0,0
Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,rpsL,9,0,0
Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Acidihalobacteraceae,DSM-5130,Gammaproteobacteria,Pseudomonadota,rpsL,4,0,0
Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rpsL,4,0,0
Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rpsL,16,0,0
Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rpsL,26,0,0
Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,rpsL,1,0,0
Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rpsL,116,7,0.0603448275862069
Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rpsL,7,7,1
Aeribacillaceae,Bacillales,Bacilli,Bacillota,rpsL,3,0,0
Aerococcaceae,Lactobacillales,Bacilli,Bacillota,rpsL,2,0,0
Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,43,0,0
Aerosakkonemataceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rpsL,4,0,0
Aestuariirhabdaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Aestuariivirgaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Afifellaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,5,0,0
Ahniellaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rpsL,21,1,0.047619047619047616
Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,20,0,0
Algiphilaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Alkalibacteraceae,Eubacteriales,Clostridia,Bacillota,rpsL,5,0,0
Alkalispirochaetaceae,DSM-27196,Spirochaetia,Spirochaetota,rpsL,3,0,0
Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,222,0,0
Aminiphilaceae,Synergistales,Synergistia,Synergistota,rpsL,1,0,0
Aminithiophilaceae,Synergistales,Synergistia,Synergistota,rpsL,1,0,0
Aminobacteriaceae,Synergistales,Synergistia,Synergistota,rpsL,4,0,0
Ammonificaceae,Desulfotomaculales,Desulfotomaculia,Bacillota,rpsL,3,0,0
Amorphaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,7,0,0
Anaerobacaceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,rpsL,1,1,1
Anaerofustaceae,Eubacteriales,Clostridia,Bacillota,rpsL,1,0,0
Anaerohalosphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,rpsL,1,1,1
Anaeromusaceae,Anaeromusales,Negativicutes,Bacillota,rpsL,1,0,0
Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota,rpsL,7,0,0
Anaerosomataceae,Anaerosomatales,Coriobacteriia,Actinomycetota,rpsL,2,0,0
Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,rpsL,309,290,0.9385113268608414
Ancalomicrobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Angustibacteraceae,Actinomycetales,Actinomycetes,Actinomycetota,rpsL,1,0,0
Antricoccaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rpsL,4,0,0
Aquaspirillaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,4,0,0
Aquificaceae,Aquificales,Aquificia,Aquificota,rpsL,3,0,0
Aquisalimonadaceae,Nitrococcales,Gammaproteobacteria,Pseudomonadota,rpsL,4,0,0
Arcobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota,rpsL,38,0,0
Arenicellaceae,Arenicellales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Aristaeellaceae,Christensenellales,Clostridia,Bacillota,rpsL,3,3,1
Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,rpsL,29,29,1
Atribacteraceae,Atribacterales,Atribacteria,Atribacterota,rpsL,1,0,0
Azospirillaceae,Azospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,43,1,0.023255813953488372
B231,B231,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
Bacteriovoracaceae,Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,rpsL,5,0,0
