class,phylum,gene,n,n_res,f_res
Abditibacteriia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,15,0,0
Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3673,0,0
Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2939,0,0
Anaerolineae,Chloroflexota,rrs_MG1655_2ndrun,16,0,0
Aquificia,Aquificota,rrs_MG1655_2ndrun,23,0,0
Armatimonadia,Armatimonadota,rrs_MG1655_2ndrun,2,0,0
Atribacteria,Atribacterota,rrs_MG1655_2ndrun,2,0,0
Bacilli,Bacillota,rrs_MG1655_2ndrun,2140,1,4.6728971962616824e-4
Bacteriovoracia,Bdellovibrionota,rrs_MG1655_2ndrun,5,0,0
Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,2133,1,4.6882325363338024e-4
Bdellovibrionia,Bdellovibrionota,rrs_MG1655_2ndrun,4,0,0
Blastocatellia,Acidobacteriota,rrs_MG1655_2ndrun,4,0,0
Brachyspiria,Spirochaetota,rrs_MG1655_2ndrun,11,0,0
Bradymonadia,Myxococcota,rrs_MG1655_2ndrun,5,0,0
Brevinematia,Spirochaetota,rrs_MG1655_2ndrun,2,0,0
Caldisericia,Caldisericota,rrs_MG1655_2ndrun,1,0,0
Calditrichia,Calditrichota,rrs_MG1655_2ndrun,1,0,0
Campylobacteria,Campylobacterota,rrs_MG1655_2ndrun,189,0,0
Chitinivibrionia,Fibrobacterota,rrs_MG1655_2ndrun,1,0,0
Chlamydiia,Chlamydiota,rrs_MG1655_2ndrun,23,0,0
Chlorobiia,Bacteroidota_A,rrs_MG1655_2ndrun,13,0,0
Chloroflexia,Chloroflexota,rrs_MG1655_2ndrun,11,0,0
Chrysiogenetes,Chrysiogenota,rrs_MG1655_2ndrun,3,0,0
Chthonomonadetes,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Clostridia,Bacillota,rrs_MG1655_2ndrun,678,0,0
Coprothermobacteria,Coprothermobacterota,rrs_MG1655_2ndrun,2,0,0
Coriobacteriia,Actinomycetota,rrs_MG1655_2ndrun,90,0,0
Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,173,0,0
DSM-12270,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-16504,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-4660,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
DUOV01,Bacillota,rrs_MG1655_2ndrun,1,0,0
Deferribacteres,Chrysiogenota,rrs_MG1655_2ndrun,13,0,0
Deferrisomatia,Desulfobacterota_C,rrs_MG1655_2ndrun,1,0,0
Dehalobacteriia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Dehalococcoidia,Chloroflexota,rrs_MG1655_2ndrun,7,0,0
Deinococci,Deinococcota,rrs_MG1655_2ndrun,108,0,0
Desulfarculia,Desulfobacterota,rrs_MG1655_2ndrun,3,0,0
Desulfitobacteriia,Bacillota,rrs_MG1655_2ndrun,20,0,0
Desulfobaccia,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,30,0,0
Desulfobulbia,Desulfobacterota,rrs_MG1655_2ndrun,21,0,0
Desulfomonilia,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfotomaculia,Bacillota,rrs_MG1655_2ndrun,16,0,0
Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,80,0,0
Desulfurellia,Campylobacterota,rrs_MG1655_2ndrun,3,0,0
Desulfuromonadia,Desulfobacterota,rrs_MG1655_2ndrun,51,0,0
Dethiobacteria,Bacillota,rrs_MG1655_2ndrun,1,0,0
Dictyoglomia,Dictyoglomota,rrs_MG1655_2ndrun,2,0,0
Dissulfuribacteria,Desulfobacterota,rrs_MG1655_2ndrun,3,0,0
Elusimicrobia,Elusimicrobiota,rrs_MG1655_2ndrun,3,0,0
Endomicrobiia,Elusimicrobiota,rrs_MG1655_2ndrun,1,0,0
Fibrobacteria,Fibrobacterota,rrs_MG1655_2ndrun,4,0,0
Fimbriimonadia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Fusobacteriia,Fusobacteriota,rrs_MG1655_2ndrun,49,0,0
GCA-003054495,Bacillota,rrs_MG1655_2ndrun,1,0,0
Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3859,5,0.001295672454003628
Gemmatimonadetes,Gemmatimonadota,rrs_MG1655_2ndrun,7,0,0
Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,17,0,0
Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,18,0,0
Ignavibacteria,Bacteroidota_A,rrs_MG1655_2ndrun,5,0,0
JADQBR01,Bacillota,rrs_MG1655_2ndrun,1,0,0
KKC1,Bacillota,rrs_MG1655_2ndrun,1,0,0
Kiritimatiellia,Verrucomicrobiota,rrs_MG1655_2ndrun,5,0,0
Ktedonobacteria,Chloroflexota,rrs_MG1655_2ndrun,13,1,0.07692307692307693
Lentisphaeria,Verrucomicrobiota,rrs_MG1655_2ndrun,5,0,0
Leptospiria,Spirochaetota,rrs_MG1655_2ndrun,74,0,0
Leptospirillia,Nitrospirota_A,rrs_MG1655_2ndrun,2,0,0
Limnochordia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Magnetococcia,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Moorellia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Myxococcia,Myxococcota,rrs_MG1655_2ndrun,50,0,0
Natranaerobiia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Negativicutes,Bacillota,rrs_MG1655_2ndrun,85,0,0
Nitriliruptoria,Actinomycetota,rrs_MG1655_2ndrun,8,0,0
Nitrospinia,Nitrospinota,rrs_MG1655_2ndrun,2,0,0
Oligoflexia,Bdellovibrionota_B,rrs_MG1655_2ndrun,3,0,0
Peptococcia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Phycisphaerae,Planctomycetota,rrs_MG1655_2ndrun,10,0,0
Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,110,0,0
Polyangia,Myxococcota,rrs_MG1655_2ndrun,20,0,0
Proteinivoracia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Rhodothermia,Bacteroidota_A,rrs_MG1655_2ndrun,36,0,0
Rubrobacteria,Actinomycetota,rrs_MG1655_2ndrun,9,0,0
Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,81,0,0
Sulfobacillia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Symbiobacteriia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Synergistia,Synergistota,rrs_MG1655_2ndrun,20,0,0
Syntrophia,Desulfobacterota,rrs_MG1655_2ndrun,3,0,0
Syntrophobacteria,Desulfobacterota,rrs_MG1655_2ndrun,6,0,0
Syntrophomonadia,Bacillota,rrs_MG1655_2ndrun,5,0,0
Syntrophorhabdia,Desulfobacterota_G,rrs_MG1655_2ndrun,1,0,0
Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,36,0,0
Thermaerobacteria,Bacillota,rrs_MG1655_2ndrun,2,0,0
Thermincolia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Thermoanaerobacteria,Bacillota,rrs_MG1655_2ndrun,27,0,0
Thermoanaerobaculia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Thermodesulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,11,0,0
Thermodesulfobiia,Thermodesulfobiota,rrs_MG1655_2ndrun,2,0,0
Thermodesulfovibrionia,Nitrospirota,rrs_MG1655_2ndrun,7,0,0
Thermoleophilia,Actinomycetota,rrs_MG1655_2ndrun,23,0,0
Thermosediminibacteria,Bacillota,rrs_MG1655_2ndrun,6,0,0
