family,order,class,phylum,gene,n,n_res,f_res
172606-1,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
AKS1,AKS1,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
ASO4-4,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,2,0,0
Abditibacteriaceae,Abditibacteriales,Abditibacteriia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Abyssicoccaceae,Staphylococcales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,2,0,0
Acetivibrionaceae,Acetivibrionales,Clostridia,Bacillota,rrs_MG1655_2ndrun,6,0,0
Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,195,0,0
Acetohalobiaceae,Halobacteroidales,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,rrs_MG1655_2ndrun,3,0,0
Acetonemataceae,Sporomusales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,2,0,0
Acholeplasmataceae,Acholeplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,10,0,0
Acidaminobacteraceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,9,0,0
Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidihalobacteraceae,DSM-5130,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Acidilutibacteraceae,Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,4,0,0
Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,16,0,0
Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,34,0,0
Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,110,0,0
Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,6,0,0
Acutalibacteraceae,Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,19,0,0
Aeribacillaceae,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Aerococcaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,39,0,0
