genus,family,order,class,phylum,gene,n,n_res,f_res
Abditibacterium,Abditibacteriaceae,Abditibacteriales,Abditibacteriia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Abiotrophia,Aerococcaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Absicoccus,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Abyssalbus,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Abyssibacter,OUC007,Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Abyssibius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Abyssicoccus,Abyssicoccaceae,Staphylococcales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Abyssisolibacter,MCWD3,Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Abyssogena,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acaricomes,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Acaryochloris,Thermosynechococcaceae,Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,2,0,0
Acetatifactor,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Aceticella,Thermoanaerobacteraceae,Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetitomaculum,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetivibrio,Acetivibrionaceae,Acetivibrionales,Clostridia,Bacillota,rrs_MG1655_2ndrun,6,0,0
Acetoanaerobium,Filifactoraceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Acetobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,35,0,0
Acetobacterium,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,rrs_MG1655_2ndrun,8,0,0
Acetobacteroides,ZOR0009,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Acetohalobium,Acetohalobiaceae,Halobacteroidales,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetomicrobium,Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,rrs_MG1655_2ndrun,3,0,0
Acetonema,Acetonemataceae,Sporomusales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,6,0,0
Achromobacter,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,22,0,0
Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,6,0,0
Acidibrevibacterium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidicapsa,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,3,0,0
Acididesulfobacillus,Desulfitobacteriaceae,Desulfitobacteriales,Desulfitobacteriia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acidiferrobacter,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidihalobacter,Acidihalobacteraceae,DSM-5130,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Acidilutibacter,Acidilutibacteraceae,Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acidimangrovimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidiphilium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Acidipila,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acidipropionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,5,0,0
Acidisarcina,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acidisoma,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Acidisphaera,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aciditerrimonas,UBA8190,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,15,0,0
Acidithrix,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidobacterium,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acidocella,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Acidomonas,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidothermus,Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidovorax,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,11,0,0
Aciduricibacillus,Amphibacillaceae,Bacillales_D,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,90,0,0
Acrocarpospora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,5,0,0
Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Actinacidiphila,Streptomycetaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,11,0,0
Actinoallomurus,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,8,0,0
Actinoalloteichus,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,5,0,0
Actinobacillus,Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,15,0,0
Actinobaculum,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Actinocatenispora,Micromonosporaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Actinocorallia,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,6,0,0
Actinocrinis,Catenulisporaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinocrispum,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinokineospora,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,14,0,0
Actinomadura,NA,NA,NA,NA,rrs_MG1655_2ndrun,55,0,0
Actinomarinicola,SKKL01,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,43,0,0
Actinomycetospora,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,16,0,0
Actinophytocola,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,6,0,0
Actinoplanes,Micromonosporaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,30,0,0
Actinopolymorpha,Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,4,0,0
Actinopolyspora,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,7,0,0
