order,class,phylum,gene,n,n_res,f_res
AKS1,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
ATCC43930,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Abditibacteriales,Abditibacteriia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Acanthopleuribacterales,Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,2,0,0
Acetivibrionales,Clostridia,Bacillota,rrs_MG1655_2ndrun,14,0,0
Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,195,0,0
Acholeplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,13,0,0
Acidaminococcales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,10,0,0
Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,15,0,0
Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,18,0,0
Acidothermales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1236,0,0
Aggregatilineales,Anaerolineae,Chloroflexota,rrs_MG1655_2ndrun,2,0,0
Alicyclobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,17,0,0
Anaerolineales,Anaerolineae,Chloroflexota,rrs_MG1655_2ndrun,11,0,0
Anaerosomatales,Coriobacteriia,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Aneurinibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,8,0,0
Aquificales,Aquificia,Aquificota,rrs_MG1655_2ndrun,15,0,0
Arenicellales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Armatimonadales,Armatimonadia,Armatimonadota,rrs_MG1655_2ndrun,2,0,0
Atribacterales,Atribacteria,Atribacterota,rrs_MG1655_2ndrun,2,0,0
Azospirillales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,37,0,0
B-17B0,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
B231,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,175,0,0
Bacillales_A,Bacilli,Bacillota,rrs_MG1655_2ndrun,114,0,0
Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,124,0,0
Bacillales_C,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Bacillales_D,Bacilli,Bacillota,rrs_MG1655_2ndrun,138,0,0
Bacillales_E,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Bacillales_G,Bacilli,Bacillota,rrs_MG1655_2ndrun,7,0,0
Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,71,0,0
Bacillales_K,Bacilli,Bacillota,rrs_MG1655_2ndrun,14,0,0
Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,rrs_MG1655_2ndrun,5,0,0
Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,247,0,0
Balneolales,Rhodothermia,Bacteroidota_A,rrs_MG1655_2ndrun,22,0,0
Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,rrs_MG1655_2ndrun,4,0,0
Beggiatoales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Borreliales,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,35,0,0
Brachyspirales,Brachyspiria,Spirochaetota,rrs_MG1655_2ndrun,11,0,0
Bradymonadales,Bradymonadia,Myxococcota,rrs_MG1655_2ndrun,5,0,0
Brevibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,25,0,0
Brevinematales,Brevinematia,Spirochaetota,rrs_MG1655_2ndrun,2,0,0
Bryobacterales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,2,0,0
Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1047,0,0
CGMCC-115125,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Caldalkalibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Calderihabitantales,KKC1,Bacillota,rrs_MG1655_2ndrun,1,0,0
Caldicellulosiruptorales,Thermoanaerobacteria,Bacillota,rrs_MG1655_2ndrun,11,0,0
Caldicoprobacterales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Caldilineales,Anaerolineae,Chloroflexota,rrs_MG1655_2ndrun,2,0,0
Caldisericales,Caldisericia,Caldisericota,rrs_MG1655_2ndrun,1,0,0
Calditerricolales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Calditrichales,Calditrichia,Calditrichota,rrs_MG1655_2ndrun,1,0,0
Campylobacterales,Campylobacteria,Campylobacterota,rrs_MG1655_2ndrun,185,0,0
Carboxydocellales,GCA-003054495,Bacillota,rrs_MG1655_2ndrun,1,0,0
Carboxydothermales,Z-2901,Bacillota,rrs_MG1655_2ndrun,2,0,0
Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,13,0,0
Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,142,0,0
Chitinivibrionales,Chitinivibrionia,Fibrobacterota,rrs_MG1655_2ndrun,1,0,0
Chitinophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,147,0,0
Chlamydiales,Chlamydiia,Chlamydiota,rrs_MG1655_2ndrun,23,0,0
Chloracidobacteriales,Blastocatellia,Acidobacteriota,rrs_MG1655_2ndrun,3,0,0
Chlorobiales,Chlorobiia,Bacteroidota_A,rrs_MG1655_2ndrun,13,0,0
Chloroflexales,Chloroflexia,Chloroflexota,rrs_MG1655_2ndrun,6,0,0
Christensenellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,15,0,0
Chromatiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,35,0,0
Chrysiogenales,Chrysiogenetes,Chrysiogenota,rrs_MG1655_2ndrun,3,0,0
Chthoniobacterales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,2,0,0
