class,phylum,gene,n,n_res,f_res
Abditibacteriia,Armatimonadota,rrs,1,0,0
Acidimicrobiia,Actinomycetota,rrs,6,1,0.16666666666666666
Actinomycetes,Actinomycetota,rrs,2440,755,0.3094262295081967
Alphaproteobacteria,Pseudomonadota,rrs,2230,196,0.08789237668161436
Anaerolineae,Chloroflexota,rrs,9,4,0.4444444444444444
Aquificia,Aquificota,rrs,14,1,0.07142857142857142
Atribacteria,Atribacterota,rrs,2,0,0
Bacilli,Bacillota,rrs,1564,478,0.30562659846547313
Bacteriovoracia,Bdellovibrionota,rrs,5,3,0.6
Bacteroidia,Bacteroidota,rrs,1203,421,0.34995843724023273
Bdellovibrionia,Bdellovibrionota,rrs,4,0,0
Blastocatellia,Acidobacteriota,rrs,4,1,0.25
Brachyspiria,Spirochaetota,rrs,10,0,0
Bradymonadia,Myxococcota,rrs,4,1,0.25
Brevinematia,Spirochaetota,rrs,1,0,0
Caldisericia,Caldisericota,rrs,1,1,1
Calditrichia,Calditrichota,rrs,1,0,0
Campylobacteria,Campylobacterota,rrs,83,22,0.26506024096385544
Chlamydiia,Chlamydiota,rrs,9,0,0
Chlorobiia,Bacteroidota_A,rrs,11,5,0.45454545454545453
Chloroflexia,Chloroflexota,rrs,7,3,0.42857142857142855
Chrysiogenetes,Chrysiogenota,rrs,2,1,0.5
Clostridia,Bacillota,rrs,397,156,0.3929471032745592
Coprothermobacteria,Coprothermobacterota,rrs,2,2,1
Coriobacteriia,Actinomycetota,rrs,68,19,0.27941176470588236
Cyanobacteriia,Cyanobacteriota,rrs,94,23,0.24468085106382978
DSM-12270,Bacillota,rrs,1,0,0
DSM-16504,Bacillota,rrs,1,1,1
Deferribacteres,Chrysiogenota,rrs,11,3,0.2727272727272727
Deferrisomatia,Desulfobacterota_C,rrs,1,0,0
Dehalococcoidia,Chloroflexota,rrs,5,0,0
Deinococci,Deinococcota,rrs,63,17,0.2698412698412698
Desulfarculia,Desulfobacterota,rrs,2,1,0.5
Desulfitobacteriia,Bacillota,rrs,18,13,0.7222222222222222
Desulfobaccia,Desulfobacterota,rrs,1,1,1
Desulfobacteria,Desulfobacterota,rrs,24,14,0.5833333333333334
Desulfobulbia,Desulfobacterota,rrs,18,8,0.4444444444444444
Desulfotomaculia,Bacillota,rrs,10,5,0.5
Desulfovibrionia,Desulfobacterota_I,rrs,44,9,0.20454545454545456
Desulfurellia,Campylobacterota,rrs,3,1,0.3333333333333333
Desulfuromonadia,Desulfobacterota,rrs,43,8,0.18604651162790697
Dethiobacteria,Bacillota,rrs,1,1,1
Dictyoglomia,Dictyoglomota,rrs,1,1,1
Dissulfuribacteria,Desulfobacterota,rrs,2,1,0.5
Elusimicrobia,Elusimicrobiota,rrs,1,0,0
Fibrobacteria,Fibrobacterota,rrs,2,1,0.5
Fimbriimonadia,Armatimonadota,rrs,1,0,0
Fusobacteriia,Fusobacteriota,rrs,33,8,0.24242424242424243
GCA-003054495,Bacillota,rrs,1,1,1
