family,order,class,phylum,gene,n,n_res,f_res
172606-1,Cytophagales,Bacteroidia,Bacteroidota,rrs,2,0,0
AKS1,AKS1,Gammaproteobacteria,Pseudomonadota,rrs,1,1,1
ASO4-4,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs,1,0,0
Abditibacteriaceae,Abditibacteriales,Abditibacteriia,Armatimonadota,rrs,1,0,0
Abyssicoccaceae,Staphylococcales,Bacilli,Bacillota,rrs,1,0,0
Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,rrs,1,0,0
Acetivibrionaceae,Acetivibrionales,Clostridia,Bacillota,rrs,5,1,0.2
Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,91,26,0.2857142857142857
Acetohalobiaceae,Halobacteroidales,Halanaerobiia,Bacillota,rrs,1,0,0
Acetonemataceae,Sporomusales,Negativicutes,Bacillota,rrs,1,0,0
Acholeplasmataceae,Acholeplasmatales,Bacilli,Bacillota,rrs,9,2,0.2222222222222222
Acidaminobacteraceae,Peptostreptococcales,Clostridia,Bacillota,rrs,1,0,0
Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,rrs,8,0,0
Acidihalobacteraceae,DSM-5130,Gammaproteobacteria,Pseudomonadota,rrs,4,1,0.25
Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs,2,0,0
Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rrs,15,12,0.8
Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs,30,29,0.9666666666666667
Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,rrs,1,0,0
Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs,72,26,0.3611111111111111
Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,6,0,0
Acutalibacteraceae,Oscillospirales,Clostridia,Bacillota,rrs,5,0,0
Aeribacillaceae,Bacillales,Bacilli,Bacillota,rrs,2,0,0
Aerococcaceae,Lactobacillales,Bacilli,Bacillota,rrs,18,5,0.2777777777777778
Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,34,1,0.029411764705882353
Aerosakkonemataceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs,4,0,0
Aestuariirhabdaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Afifellaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Aggregatilineaceae,Aggregatilineales,Anaerolineae,Chloroflexota,rrs,1,0,0
Ahniellaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rrs,11,2,0.18181818181818182
Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,7,5,0.7142857142857143
Algiphilaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Alicyclobacillaceae,Alicyclobacillales,Bacilli,Bacillota,rrs,12,4,0.3333333333333333
Alkalibacillaceae,Bacillales_D,Bacilli,Bacillota,rrs,8,5,0.625
Alkalibacteraceae,Eubacteriales,Clostridia,Bacillota,rrs,2,0,0
Alkalispirochaetaceae,DSM-27196,Spirochaetia,Spirochaetota,rrs,2,2,1
Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,124,13,0.10483870967741936
Aminiphilaceae,Synergistales,Synergistia,Synergistota,rrs,1,1,1
Aminithiophilaceae,Synergistales,Synergistia,Synergistota,rrs,1,0,0
Aminobacteriaceae,Synergistales,Synergistia,Synergistota,rrs,3,0,0
Ammonificaceae,Desulfotomaculales,Desulfotomaculia,Bacillota,rrs,2,1,0.5
Amoebophilaceae,Cytophagales_A,Bacteroidia,Bacteroidota,rrs,7,2,0.2857142857142857
Amorphaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,6,0,0
Amphibacillaceae,Bacillales_D,Bacilli,Bacillota,rrs,66,4,0.06060606060606061
Anaerobacillaceae,Bacillales_H,Bacilli,Bacillota,rrs,2,0,0
Anaerohalosphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,rrs,1,0,0
Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexota,rrs,7,3,0.42857142857142855
Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota,rrs,6,0,0
Anaerosomataceae,Anaerosomatales,Coriobacteriia,Actinomycetota,rrs,2,0,0
Anaerotignaceae,Lachnospirales,Clostridia,Bacillota,rrs,1,0,0
Anaerovoracaceae,Peptostreptococcales,Clostridia,Bacillota,rrs,17,7,0.4117647058823529
Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,rrs,302,118,0.39072847682119205
Ancalomicrobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Aneurinibacillaceae,Aneurinibacillales,Bacilli,Bacillota,rrs,5,2,0.4
Anoxybacillaceae,Bacillales,Bacilli,Bacillota,rrs,20,9,0.45
Antricoccaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs,1,1,1
Aquaspirillaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs,3,1,0.3333333333333333
Aquificaceae,Aquificales,Aquificia,Aquificota,rrs,7,1,0.14285714285714285
Aquisalimonadaceae,Nitrococcales,Gammaproteobacteria,Pseudomonadota,rrs,4,1,0.25
Arcobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota,rrs,25,14,0.56
Arenicellaceae,Arenicellales,Gammaproteobacteria,Pseudomonadota,rrs,2,0,0
Aristaeellaceae,Christensenellales,Clostridia,Bacillota,rrs,3,3,1
Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,rrs,23,2,0.08695652173913043
Atribacteraceae,Atribacterales,Atribacteria,Atribacterota,rrs,1,0,0
Azospirillaceae,Azospirillales,Alphaproteobacteria,Pseudomonadota,rrs,30,4,0.13333333333333333
B-17BO,B-17B0,Bacteroidia,Bacteroidota,rrs,1,0,0
