genus,family,order,class,phylum,gene,n,n_res,f_res
Abditibacterium,Abditibacteriaceae,Abditibacteriales,Abditibacteriia,Abditibacteriota,rrs,1,0,0
Abiotrophia,Aerococcaceae,Lactobacillales,Bacilli,Bacillota,rrs,1,1,1
Absicoccus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Bacillota,rrs,2,1,0.5
Abyssalbus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,1,1
Abyssibius,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Abyssicoccus,Abyssicoccaceae,Bacillales,Bacilli,Bacillota,rrs,1,0,0
Abyssisolibacter,Clostridiaceae,Eubacteriales,Clostridia,Bacillota,rrs,1,0,0
Abyssogena,NA,NA,NA,NA,rrs,1,1,1
Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,rrs,1,0,0
Acaricomes,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,rrs,1,1,1
Acaryochloris,Acaryochloridaceae,Acaryochloridales,Cyanophyceae,Cyanobacteriota,rrs,2,0,0
Acetatifactor,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs,2,1,0.5
Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,rrs,1,0,0
Acetivibrio,Oscillospiraceae,Eubacteriales,Clostridia,Bacillota,rrs,5,1,0.2
Acetoanaerobium,Filifactoraceae,Peptostreptococcales,Clostridia,Bacillota,rrs,1,1,1
Acetobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,2,2,1
Acetobacterium,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,rrs,6,5,0.8333333333333334
Acetobacteroides,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,1,0,0
Acetohalobium,Halobacteroidaceae,Halanaerobiales,Clostridia,Bacillota,rrs,1,0,0
Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Mycoplasmatota,rrs,6,2,0.3333333333333333
Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,15,7,0.4666666666666667
Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,rrs,6,0,0
Acidibrevibacterium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Acidicapsa,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs,3,3,1
Acididesulfobacillus,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,rrs,1,1,1
Acidihalobacter,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,rrs,4,1,0.25
Acidiphilium,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Acidipila,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs,1,1,1
Acidipropionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,2,2,1
Acidisarcina,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs,1,1,1
Acidisoma,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,3,0,0
Acidisphaera,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,1,1
Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Pseudomonadota,rrs,15,12,0.8
Acidobacterium,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs,1,1,1
Acidocella,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,4,0,0
Acidomonas,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,1,1
Acidothermus,Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,rrs,1,0,0
Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,11,0,0
Aciduricibacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,rrs,1,0,0
Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,rrs,70,23,0.32857142857142857
