order,class,phylum,gene,n,n_res,f_res
AKS1,Gammaproteobacteria,Pseudomonadota,rrs,1,1,1
ATCC43930,Alphaproteobacteria,Pseudomonadota,rrs,2,1,0.5
Abditibacteriales,Abditibacteriia,Armatimonadota,rrs,1,0,0
Acanthopleuribacterales,Holophagae,Acidobacteriota,rrs,1,0,0
Acetivibrionales,Clostridia,Bacillota,rrs,12,2,0.16666666666666666
Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,91,26,0.2857142857142857
Acholeplasmatales,Bacilli,Bacillota,rrs,12,3,0.25
Acidaminococcales,Negativicutes,Bacillota,rrs,9,0,0
Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs,6,1,0.16666666666666666
Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rrs,17,12,0.7058823529411765
Acidothermales,Actinomycetes,Actinomycetota,rrs,1,0,0
Actinomycetales,Actinomycetes,Actinomycetota,rrs,870,348,0.4
Aggregatilineales,Anaerolineae,Chloroflexota,rrs,1,0,0
Alicyclobacillales,Bacilli,Bacillota,rrs,12,4,0.3333333333333333
Anaerolineales,Anaerolineae,Chloroflexota,rrs,7,3,0.42857142857142855
Anaerosomatales,Coriobacteriia,Actinomycetota,rrs,2,0,0
Aneurinibacillales,Bacilli,Bacillota,rrs,6,2,0.3333333333333333
Aquificales,Aquificia,Aquificota,rrs,10,1,0.1
Arenicellales,Gammaproteobacteria,Pseudomonadota,rrs,2,0,0
Atribacterales,Atribacteria,Atribacterota,rrs,2,0,0
Azospirillales,Alphaproteobacteria,Pseudomonadota,rrs,30,4,0.13333333333333333
B-17B0,Bacteroidia,Bacteroidota,rrs,1,0,0
Bacillales,Bacilli,Bacillota,rrs,134,17,0.12686567164179105
Bacillales_A,Bacilli,Bacillota,rrs,86,17,0.19767441860465115
Bacillales_B,Bacilli,Bacillota,rrs,94,7,0.07446808510638298
Bacillales_C,Bacilli,Bacillota,rrs,2,2,1
Bacillales_D,Bacilli,Bacillota,rrs,93,23,0.24731182795698925
Bacillales_E,Bacilli,Bacillota,rrs,1,1,1
Bacillales_G,Bacilli,Bacillota,rrs,2,0,0
Bacillales_H,Bacilli,Bacillota,rrs,59,31,0.5254237288135594
Bacillales_K,Bacilli,Bacillota,rrs,10,9,0.9
Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,rrs,5,3,0.6
Bacteroidales,Bacteroidia,Bacteroidota,rrs,163,51,0.3128834355828221
Balneolales,Rhodothermia,Bacteroidota_A,rrs,17,2,0.11764705882352941
Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,rrs,4,0,0
Beggiatoales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Borreliales,Spirochaetia,Spirochaetota,rrs,5,1,0.2
Brachyspirales,Brachyspiria,Spirochaetota,rrs,10,0,0
Bradymonadales,Bradymonadia,Myxococcota,rrs,4,1,0.25
Brevibacillales,Bacilli,Bacillota,rrs,22,3,0.13636363636363635
Brevinematales,Brevinematia,Spirochaetota,rrs,1,0,0
Bryobacterales,Terriglobia,Acidobacteriota,rrs,2,0,0
Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs,905,239,0.2640883977900553
Caldalkalibacillales,Bacilli,Bacillota,rrs,3,1,0.3333333333333333
Caldicellulosiruptorales,Thermoanaerobacteria,Bacillota,rrs,8,0,0
Caldicoprobacterales,Clostridia,Bacillota,rrs,2,0,0
Caldilineales,Anaerolineae,Chloroflexota,rrs,1,1,1
Caldisericales,Caldisericia,Caldisericota,rrs,1,1,1
Calditerricolales,Bacilli,Bacillota,rrs,1,0,0
Calditrichales,Calditrichia,Calditrichota,rrs,1,0,0
Campylobacterales,Campylobacteria,Campylobacterota,rrs,80,21,0.2625
Carboxydocellales,GCA-003054495,Bacillota,rrs,1,1,1
Carboxydothermales,Z-2901,Bacillota,rrs,2,1,0.5
Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,rrs,10,4,0.4
Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs,100,0,0
Chitinophagales,Bacteroidia,Bacteroidota,rrs,73,16,0.2191780821917808
Chlamydiales,Chlamydiia,Chlamydiota,rrs,9,0,0
Chloracidobacteriales,Blastocatellia,Acidobacteriota,rrs,3,1,0.3333333333333333
Chlorobiales,Chlorobiia,Bacteroidota_A,rrs,11,5,0.45454545454545453
Chloroflexales,Chloroflexia,Chloroflexota,rrs,5,2,0.4
Christensenellales,Clostridia,Bacillota,rrs,6,5,0.8333333333333334
Chromatiales,Gammaproteobacteria,Pseudomonadota,rrs,30,2,0.06666666666666667
Chrysiogenales,Chrysiogenetes,Chrysiogenota,rrs,2,1,0.5
Chthoniobacterales,Verrucomicrobiia,Verrucomicrobiota,rrs,2,0,0
Clostridiales,Clostridia,Bacillota,rrs,70,23,0.32857142857142857
Competibacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Coprothermobacterales,Coprothermobacteria,Coprothermobacterota,rrs,2,2,1
Coriobacteriales,Coriobacteriia,Actinomycetota,rrs,66,19,0.2878787878787879
Coxiellales,Gammaproteobacteria,Pseudomonadota,rrs,3,1,0.3333333333333333
Culicoidibacterales,Bacilli,Bacillota,rrs,1,0,0
Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs,58,13,0.22413793103448276
Cytophagales,Bacteroidia,Bacteroidota,rrs,275,85,0.3090909090909091
Cytophagales_A,Bacteroidia,Bacteroidota,rrs,7,2,0.2857142857142857
DRI-13,Peptococcia,Bacillota,rrs,1,0,0
DSM-13327,Negativicutes,Bacillota,rrs,2,2,1
DSM-16000,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
DSM-16500,Gammaproteobacteria,Pseudomonadota,rrs,2,0,0
DSM-1736,Negativicutes,Bacillota,rrs,1,0,0
DSM-22679,Bacilli,Bacillota,rrs,1,0,0
DSM-26407,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
DSM-27196,Spirochaetia,Spirochaetota,rrs,3,2,0.6666666666666666
DSM-28697,Bacilli,Bacillota,rrs,2,2,1
DSM-5130,Gammaproteobacteria,Pseudomonadota,rrs,4,1,0.25
DSM-8532,Clostridia,Bacillota,rrs,1,1,1
DY22613,Halanaerobiia,Bacillota,rrs,1,0,0
Deferribacterales,Deferribacteres,Chrysiogenota,rrs,11,3,0.2727272727272727
Deferrisomatales,Deferrisomatia,Desulfobacterota_C,rrs,1,0,0
Dehalococcoidales,Dehalococcoidia,Chloroflexota,rrs,2,0,0
Deinococcales,Deinococci,Deinococcota,rrs,63,17,0.2698412698412698
Desulfarculales,Desulfarculia,Desulfobacterota,rrs,2,1,0.5
Desulfitibacterales,DSM-16504,Bacillota,rrs,1,1,1
Desulfitobacteriales,Desulfitobacteriia,Bacillota,rrs,16,12,0.75
Desulfobaccales,Desulfobaccia,Desulfobacterota,rrs,1,1,1
Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs,24,14,0.5833333333333334
Desulfobulbales,Desulfobulbia,Desulfobacterota,rrs,18,8,0.4444444444444444
Desulfotomaculales,Desulfotomaculia,Bacillota,rrs,10,5,0.5
Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs,44,9,0.20454545454545456
Desulfurellales,Desulfurellia,Campylobacterota,rrs,3,1,0.3333333333333333
Desulfuribacillales,Bacilli,Bacillota,rrs,2,1,0.5
Desulfurobacteriales,Aquificia,Aquificota,rrs,4,0,0
Desulfuromonadales,Desulfuromonadia,Desulfobacterota,rrs,11,3,0.2727272727272727
Dethiobacterales,Dethiobacteria,Bacillota,rrs,1,1,1
Dictyoglomales,Dictyoglomia,Dictyoglomota,rrs,1,1,1
Dissulfuribacterales,Dissulfuribacteria,Desulfobacterota,rrs,2,1,0.5
Dongiales,Alphaproteobacteria,Pseudomonadota,rrs,4,1,0.25
