Data source record id,NCBI tax id,BioSample,BioProject,Data source organism name,NCBI scientific name,RDP taxa,Data source lineage,NCBI taxonomic lineage,RDP taxonomic lineage,basecount,16S gene count,23S gene count,tRNA gene count,Curator,Evidence,Note,References,rrnDB version
GCF_000005845.2,511145,SAMN02604091,PRJNA57779,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,Escherichia/Shigella (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Enterobacterales|order; Enterobacteriaceae|family; Escherichia/Shigella|genus,NA,7,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000006685.1,243161,SAMN02603994,PRJNA224116,Chlamydia muridarum str. Nigg,Chlamydia muridarum str. Nigg,Chlamydia (genus),NA,NA,Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000006765.1,208964,SAMN02603714,PRJNA57945,Pseudomonas aeruginosa PAO1,Pseudomonas aeruginosa PAO1,Pseudomonas (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus,NA,4,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000006925.2,198214,SAMN02603599,PRJNA62907,Shigella flexneri 2a str. 301,Shigella flexneri 2a str. 301,Escherichia/Shigella (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Enterobacterales|order; Enterobacteriaceae|family; Escherichia/Shigella|genus,NA,7,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000006945.2,99287,SAMN02604315,PRJNA57799,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Salmonella (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Enterobacterales|order; Enterobacteriaceae|family; Salmonella|genus,NA,7,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000006985.1,194439,SAMN02604006,PRJNA224116,Chlorobaculum tepidum TLS,Chlorobaculum tepidum TLS,Chlorobaculum (genus),NA,NA,Bacteria|domain; Chlorobiota|phylum; Chlorobiia|class; Chlorobiales|order; Chlorobiaceae|family; Chlorobaculum|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007025.1,272944,SAMN02603141,PRJNA224116,Rickettsia conorii str. Malish 7,Rickettsia conorii str. Malish 7,Rickettsia (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Rickettsiales|order; Rickettsiaceae|family; Rickettsia|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007085.1,273068,SAMN02603009,PRJNA224116,Caldanaerobacter subterraneus subsp. tengcongensis MB4,Caldanaerobacter subterraneus subsp. tengcongensis MB4,Caldanaerobacter (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Clostridia|class; Thermoanaerobacterales|order; Thermoanaerobacteraceae|family; Caldanaerobacter|genus,NA,4,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007125.1,224914,SAMN02603416,PRJNA224116,Brucella melitensis bv. 1 str. 16M,Brucella melitensis bv. 1 str. 16M,Brucella (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Hyphomicrobiales|order; Brucellaceae|family; Brucella|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007205.1,182082,SAMN02602979,PRJNA224116,Chlamydia pneumoniae TW-183,Chlamydia pneumoniae TW-183,Chlamydia (genus),NA,NA,Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007365.1,198804,SAMN02604269,PRJNA224116,Buchnera aphidicola str. Sg (Schizaphis graminum),Buchnera aphidicola str. Sg (Schizaphis graminum),Buchnera (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Enterobacterales|order; Erwiniaceae|family; Buchnera|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007505.1,204722,SAMN02603682,PRJNA224116,Brucella suis 1330,Brucella suis 1330,Brucella (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Hyphomicrobiales|order; Brucellaceae|family; Brucella|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007605.1,227941,SAMN02603993,PRJNA224116,Chlamydia caviae GPIC,Chlamydia caviae GPIC,Chlamydia (genus),NA,NA,Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007625.1,212717,SAMN02603289,PRJNA224116,Clostridium tetani E88,Clostridium tetani E88,Clostridium sensu stricto (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Clostridia|class; Eubacteriales|order; Clostridiaceae 1|family; Clostridium sensu stricto|genus,NA,6,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
