Data source record id	NCBI tax id	BioSample	BioProject	Data source organism name	NCBI scientific name	RDP taxa	Data source lineage	NCBI taxonomic lineage	RDP taxonomic lineage	basecount	16S gene count	23S gene count	tRNA gene count	Curator	Evidence	Note	References	rrnDB version
rrnDBv3-1403	940283			Acetobacter europaeus DSM 6160	Komagataeibacter europaeus LMG 18890		1403|rrnDBv3 strain_id; rrnDBv3-1403|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Alphaproteobacteria|class; none|subclass; Rhodospirillales|order; none|suborder; Acetobacteraceae|family; none|subfamily; Acetobacter|genus; none|subgenus; europaeus|species; none|subspecies; DSM 6160|strain(s)				4	4		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S-23S intergenic spacer probe, only one of the intergenic spacer was sequenced.	Strain is also known as DSM 6160.	Sievers M, Alonso L, Gianotti S, Boesch C, Teuber M (1996). 16S-23S ribosomal RNA spacer regions of Acetobacter europaeus and A. xylinum, tRNA genes and antitermination sequences. FEMS Microbiol Lett. 142(1):43-8.	"""5.10"""
rrnDBv3-1404	28448			Acetobacter xylinum NCIB 11664	Komagataeibacter xylinus		1404|rrnDBv3 strain_id; rrnDBv3-1404|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Alphaproteobacteria|class; none|subclass; Rhodospirillales|order; none|suborder; Acetobacteraceae|family; none|subfamily; Acetobacter|genus; none|subgenus; xylinum|species; none|subspecies; NCIB 11664|strain(s)				4	4		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S-23S intergenic spacer probe, only one of the intergenic spacer was sequenced		Sievers M, Alonso L, Gianotti S, Boesch C, Teuber M (1996). 16S-23S ribosomal RNA spacer regions of Acetobacter europaeus and A. xylinum, tRNA genes and antitermination sequences. FEMS Microbiol Lett. 142(1):43-8.	"""5.10"""
rrnDBv3-1405	28448			Acetobacter xylinum CL27	Komagataeibacter xylinus		1405|rrnDBv3 strain_id; rrnDBv3-1405|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Alphaproteobacteria|class; none|subclass; Rhodospirillales|order; none|suborder; Acetobacteraceae|family; none|subfamily; Acetobacter|genus; none|subgenus; xylinum|species; none|subspecies; CL27|strain(s)				4	4		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S-23S intergenic spacer probe, only one of the intergenic spacer was sequenced		Sievers M, Alonso L, Gianotti S, Boesch C, Teuber M (1996). 16S-23S ribosomal RNA spacer regions of Acetobacter europaeus and A. xylinum, tRNA genes and antitermination sequences. FEMS Microbiol Lett. 142(1):43-8.	"""5.10"""
rrnDBv3-1407	29552			Acholeplasma axanthum 	Acholeplasma axanthum		1407|rrnDBv3 strain_id; rrnDBv3-1407|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Tenericutes|phylum; none|subphylum; Mollicutes|class; none|subclass; Acholeplasmatales|order; none|suborder; Acholeplasmataceae|family; none|subfamily; Acholeplasma|genus; none|subgenus; axanthum|species; none|subspecies; none|strain(s)				2	2		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-, 23S rRNA- and 5S rRNA-encoding gene probes.		Amikam D, Glaser G, Razin S (1984). Mycoplasmas (Mollicutes) have a low number of rRNA genes. J Bacteriol. 158(1):376-8.	"""5.10"""
rrnDBv3-1408	264635			Acholeplasma granularum 	Acholeplasma granularum		1408|rrnDBv3 strain_id; rrnDBv3-1408|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Tenericutes|phylum; none|subphylum; Mollicutes|class; none|subclass; Acholeplasmatales|order; none|suborder; Acholeplasmataceae|family; none|subfamily; Acholeplasma|genus; none|subgenus; granularum|species; none|subspecies; none|strain(s)				2	2		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-, 23S rRNA- and 5S rRNA-encoding gene probes		Amikam D, Glaser G, Razin S (1984). Mycoplasmas (Mollicutes) have a low number of rRNA genes. J Bacteriol. 158(1):376-8.	"""5.10"""
rrnDBv3-1409	472			Acinetobacter sp. DSM587	Acinetobacter sp.		1409|rrnDBv3 strain_id; rrnDBv3-1409|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; sp.|species; none|subspecies; DSM587|strain(s)					7		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 23S rRNA-encoding probe, only one 16S rRNA gene was sequenced		Stratz M, Mau M, Timmis KN (1996). System to study horizontal gene exchange among microorganisms without cultivation of recipients. Mol Microbiol. 22(2):207-15.	"""5.10"""
rrnDBv3-1410	202950			Acinetobacter baylyi A7 (DSM 14959)	Acinetobacter baylyi		1410|rrnDBv3 strain_id; rrnDBv3-1410|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; baylyi|species; none|subspecies; A7 (DSM 14959)|strain(s)				7			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1411	202950			Acinetobacter baylyi C5 (DSM 14963)	Acinetobacter baylyi		1411|rrnDBv3 strain_id; rrnDBv3-1411|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; baylyi|species; none|subspecies; C5 (DSM 14963)|strain(s)				7			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1412	202950			Acinetobacter baylyi BD413 (LUH 3905)	Acinetobacter baylyi		1412|rrnDBv3 strain_id; rrnDBv3-1412|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; baylyi|species; none|subspecies; BD413 (LUH 3905)|strain(s)				7			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1413	1198992			Acinetobacter baylyi BD4 (LUH 4836)	Acinetobacter baylyi BD4		1413|rrnDBv3 strain_id; rrnDBv3-1413|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; baylyi|species; none|subspecies; BD4 (LUH 4836)|strain(s)				7			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1414	202950			Acinetobacter baylyi 93A2 (LUH 5822)	Acinetobacter baylyi		1414|rrnDBv3 strain_id; rrnDBv3-1414|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; baylyi|species; none|subspecies; 93A2 (LUH 5822)|strain(s)				7			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1415	981331			Acinetobacter calcoaceticus BG1 (ATCC 23055)	Acinetobacter calcoaceticus DSM 30006 = CIP 81.8		1415|rrnDBv3 strain_id; rrnDBv3-1415|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; calcoaceticus|species; none|subspecies; BG1 (ATCC 23055)|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1416	1217666			Acinetobacter grimontii DSM 14968	Acinetobacter junii CIP 107470		1416|rrnDBv3 strain_id; rrnDBv3-1416|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; grimontii|species; none|subspecies; DSM 14968|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1417	1217664			Acinetobacter junii BG5 (ATCC 17908)	Acinetobacter junii CIP 64.5		1417|rrnDBv3 strain_id; rrnDBv3-1417|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; junii|species; none|subspecies; BG5 (ATCC 17908)|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
