accession_number,species_name,genus,resistance_status,mean_alig_score,mean_core_dist,n_pairs
GCF_001702215.1,Pediococcus claussenii,Pediococcus,0,3117.3614501953125,0.5,6
GCF_001702265.1,Pseudomonas aylmerensis,Pseudomonas,0,3045.95166015625,0,3
GCF_000005845.2,Escherichia coli,Escherichia,0,2990.2518484933034,0,21
GCF_000006685.1,Chlamydia muridarum,Chlamydia,0,3077.65869140625,0,1
GCF_001704115.1,Acinetobacter larvae,Acinetobacter,7,3045.95166015625,0,21
GCF_000006925.2,Shigella flexneri,Shigella,0,3043.251025390625,1.2,10
GCF_000006945.2,Salmonella enterica,Salmonella,0,3012.67353515625,0,10
GCF_000006985.1,Chlorobaculum tepidum,Chlorobaculum,0,2976.592529296875,0,1
GCF_000007085.1,Caldanaerobacter subterraneus,Caldanaerobacter,1,2409.2872924804688,7,6
GCF_001704615.3,Acinetobacter defluvii,Acinetobacter,0,3049.9150390625,0,21
GCF_000007125.1,Brucella melitensis,Brucella,3,2942.90380859375,0,3
GCF_000007505.1,Brucella suis,Brucella,3,2942.90380859375,0,3
GCF_001704635.1,Streptomyces sparsogenes,Streptomyces,0,2765.61865234375,0,15
GCF_000007625.1,Clostridium tetani,Clostridium,0,2977.9011067708334,0.3333333333333333,15
GCF_001705175.1,Flavobacterium anhuiense,Flavobacterium,5,2992.491943359375,0,10
GCF_001708305.1,Streptococcus himalayensis,Streptococcus,0,3067.750244140625,0,6
GCF_001708405.1,Kangiella sediminilitoris,Kangiella,0,3045.95166015625,0,1
GCF_000007745.1,Mannheimia succiniciproducens,Mannheimia,0,3043.1521158854166,0.3333333333333333,15
GCF_000007985.2,Geobacter sulfurreducens,Geobacter,2,3083.603759765625,0,1
GCF_000008185.1,Treponema denticola,Treponema,0,3053.92431640625,0,1
GCF_000008305.1,Mesoplasma florum,Mesoplasma,0,3022.17138671875,0,1
GCF_001708425.1,Pseudomonas corrugata,Pseudomonas,0,3031.76630859375,0,10
GCF_001712815.1,Tetragenococcus halophilus,Tetragenococcus,0,3024.9260986328127,0,10
GCF_001717525.2,Tannerella serpentiformis,Tannerella,0,3028.116455078125,0,1
GCF_001718335.1,Burkholderia territorii,Burkholderia,0,3004.9253743489585,0,15
GCF_001718535.1,Burkholderia seminalis,Burkholderia,0,3033.8219075520833,0.5333333333333333,15
GCF_000008445.1,Bacillus anthracis,Bacillus,0,3052.99775390625,0.18181818181818182,55
GCF_001718555.1,Burkholderia metallica,Burkholderia,0,3025.941097005208,0,15
GCF_000008465.1,Idiomarina loihiensis,Idiomarina,0,3030.7079264322915,0.5,6
GCF_000008625.1,Aquifex aeolicus,Aquifex,0,3139.091064453125,0,1
GCF_001718875.1,Burkholderia singularis,Burkholderia,4,3034.0615234375,0,6
GCF_001718895.1,Burkholderia cenocepacia,Burkholderia,0,3024.364957682292,0.3333333333333333,15
GCF_000008865.2,Escherichia coli,Escherichia,0,3019.1025390625,0,21
GCF_000009085.1,Campylobacter jejuni,Campylobacter,0,2998.39111328125,0,3
GCF_000009265.1,Rhizobium johnstonii,Rhizobium,0,2934.97705078125,0,3
GCF_001721185.1,Xenorhabdus hominickii,Xenorhabdus,0,3057.841796875,0,21
GCF_000009785.1,Geobacillus kaustophilus,Geobacillus,7,3032.026634579613,1.8095238095238095,21
GCF_000009985.1,Paramagnetospirillum magneticum,Paramagnetospirillum,0,2940.922119140625,0,1
GCF_001721685.1,Salisediminibacterium beveridgei,Salisediminibacterium,0,3094.0814034598216,0,21
GCF_001723605.1,Sulfurospirillum halorespirans,Sulfurospirillum,0,2990.46435546875,0,1
GCF_001729245.1,Leptospira tipperaryensis,Leptospira,0,2990.46435546875,0,1
GCF_000010085.1,Sodalis glossinidius,Sodalis,0,3053.233154296875,0,15
GCF_001729805.1,Enterobacter roggenkampii,Enterobacter,0,3045.352294921875,0,3
GCF_001735525.1,Shewanella colwelliana,Shewanella,0,3057.841796875,0,3
GCF_001735765.2,Clostridium taeniosporum,Clostridium,2,2968.85009765625,2,1
GCF_000010505.1,Porphyromonas gingivalis,Porphyromonas,0,3036.043212890625,0,6
GCF_000010525.1,Azorhizobium caulinodans,Azorhizobium,0,2938.9404296875,0,3
GCF_000010645.1,Candidatus Azobacteroides pseudotrichonymphae,Candidatus,0,3014.24462890625,0,1
GCF_000010985.1,Deferribacter desulfuricans,Deferribacter,0,3085.631591796875,0,1
GCF_000011325.1,Corynebacterium glutamicum,Corynebacterium,0,2996.0837239583334,0,15
GCF_001742145.1,Pectobacterium parmentieri,Pectobacterium,0,3034.5748000372023,0,21
GCF_000011805.1,Aliivibrio fischeri,Aliivibrio,0,3039.79638671875,0,1
GCF_000011965.2,Ruegeria pomeroyi,Ruegeria,0,2899.306640625,0,3
GCF_000012305.1,Psychrobacter arcticus,Psychrobacter,0,3049.9150390625,0,6
GCF_000012325.1,Colwellia psychrerythraea,Colwellia,0,3057.8648681640625,0,6
GCF_001742185.1,Pectobacterium wasabiae,Pectobacterium,0,3027.0692429315477,0.2857142857142857,21
GCF_000012365.1,Burkholderia thailandensis,Burkholderia,0,3027.06201171875,0.5,6
GCF_001742225.1,Novosphingobium resinovorum,Novosphingobium,0,2950.83056640625,0,3
GCF_001747405.1,Chlorobaculum limnaeum,Chlorobaculum,0,2978.57421875,0,1
GCF_000012405.1,Thermobifida fusca,Thermobifida,4,3040.052490234375,0,6
GCF_001747425.1,Actinoalloteichus hymeniacidonis,Actinoalloteichus,0,3004.336181640625,0,3
GCF_001748245.1,Oligoflexus tunisiensis,Oligoflexus,0,3038.02490234375,0,3
GCF_000012665.1,Oleidesulfovibrio alaskensis,Oleidesulfovibrio,0,3040.0986328125,0.5,6
GCF_001750105.1,Microbulbifer aggregans,Microbulbifer,0,3043.969970703125,0,6
GCF_000012685.1,Myxococcus xanthus,Myxococcus,0,3047.933349609375,0,6
GCF_000012765.1,Mycoplasma capricolum,Mycoplasma,2,2994.56591796875,1,1
GCF_000012805.1,Nitrosococcus oceani,Nitrosococcus,2,3046.043701171875,0,1
GCF_000012825.1,Phocaeicola vulgatus,Phocaeicola,0,2983.083472842262,1.1428571428571428,21
GCF_000012865.1,Carboxydothermus hydrogenoformans,Carboxydothermus,0,3070.008056640625,2,1
GCF_000012905.2,Cereibacter sphaeroides,Cereibacter,0,2880.6705729166665,0,3
GCF_000012945.1,Burkholderia lata,Burkholderia,0,3013.8573079427083,0,15
GCF_000013325.1,Novosphingobium aromaticivorans,Novosphingobium,0,2942.90380859375,0,3
GCF_000013605.1,Rhodoferax ferrireducens,Rhodoferax,0,3045.95166015625,0,1
GCF_001750685.1,Geosporobacter ferrireducens,Geosporobacter,0,2980.7640580610796,0,55
GCF_000013645.1,Paraburkholderia xenovorans,Paraburkholderia,0,3034.0615234375,0,15
GCF_000013665.1,Saccharophagus degradans,Saccharophagus,0,3040.006591796875,0,1
GCF_000013765.1,Shewanella denitrificans,Shewanella,0,3057.841796875,0,1
GCF_000013905.1,Psychrobacter cryohalolentis,Psychrobacter,0,3049.9150390625,0,6
GCF_000014145.1,Cytophaga hutchinsonii,Cytophaga,0,3014.24462890625,0,3
GCF_001753205.1,Sporosarcina ureilytica,Sporosarcina,0,3052.497977120536,0.25,28
GCF_001758195.1,Pseudohongiella acticola,Pseudohongiella,0,3049.9150390625,0,6
GCF_001761325.1,Urechidicola croceus,Urechidicola,0,3016.226318359375,0,1
GCF_001761385.1,Hydrogenophaga crassostreae,Hydrogenophaga,0,3038.02490234375,0,1
GCF_000014425.1,Lactobacillus gasseri,Lactobacillus,0,3117.29248046875,0,15
GCF_000014445.1,Leuconostoc mesenteroides,Leuconostoc,0,3073.6953125,0,6
GCF_001761465.1,Flavobacterium gilvum,Flavobacterium,0,2987.763427734375,0,10
GCF_001761545.1,Weissella soli,Weissella,0,3112.08447265625,0,15
GCF_001787355.1,Kozakia baliensis,Kozakia,5,2958.75732421875,0,10
GCF_000014705.1,Shewanella frigidimarina,Shewanella,0,3056.0904947916665,0,36
GCF_000014725.1,Syntrophomonas wolfei,Syntrophomonas,0,2680.40771484375,0,1
GCF_000014785.1,Alkalilimnicola ehrlichii,Alkalilimnicola,0,3042.034423828125,1,1
GCF_001831475.1,Flavobacterium crassostreae,Flavobacterium,7,2987.613595145089,0.8571428571428571,21
GCF_001854325.1,Cupriavidus malaysiensis,Cupriavidus,0,3027.7872140066966,0.2857142857142857,21
GCF_001854475.1,Pseudoalteromonas byunsanensis,Pseudoalteromonas,0,3049.9150390625,0,3
GCF_000014805.1,Aeromonas hydrophila,Aeromonas,0,3058.652880859375,0,45
GCF_000014865.1,Magnetococcus marinus,Magnetococcus,1,2969.9014485677085,0,3
GCF_001854605.1,Pseudoalteromonas amylolytica,Pseudoalteromonas,0,3049.9150390625,0,15
GCF_000014885.1,Shewanella piezotolerans,Shewanella,0,3037.0271519252233,0.8214285714285714,28
GCF_000014965.1,Syntrophobacter fumaroxidans,Syntrophobacter,2,3079.732421875,0,1
GCF_001855275.1,Chromobacterium vaccinii,Chromobacterium,8,3039.748212541853,0.5357142857142857,28
GCF_000015045.1,Pelobacter propionicus,Pelobacter,0,3087.567138671875,0,6
GCF_000015125.1,Chlorobium phaeobacteroides,Chlorobium,2,2974.61083984375,0,1
GCF_000015245.1,Shewanella amazonensis,Shewanella,0,3046.0435180664062,0,28
GCF_001855565.1,Chromobacterium amazonense,Chromobacterium,0,2890.0161512586806,0.6,45
GCF_001855575.1,Chromobacterium sphagni,Chromobacterium,8,3039.748212541853,0,28
GCF_001856665.1,Rhodobacter xanthinilyticus,Rhodobacter,0,2907.2333984375,0,3
GCF_001856685.1,Boudabousia tangfeifanii,Boudabousia,0,3036.734375,0,3
GCF_000015285.1,Psychromonas ingrahamii,Psychromonas,1,3043.277419704861,0,45
GCF_000015305.1,Mycolicibacterium vanbaalenii,Mycolicibacterium,0,3000.464599609375,0,1
GCF_000015445.1,Bartonella bacilliformis,Bartonella,0,2948.848876953125,0,1
GCF_000015565.1,Verminephrobacter eiseniae,Verminephrobacter,0,3034.752685546875,0,3
