accession_number,species_name,genus,resistance_status,mean_alig_score,mean_core_dist,n_pairs
GCF_045276205.1,Mycoplasmopsis adleri,Mycoplasmopsis,0,2966.867919921875,1,1
GCF_002309535.1,Sulfurospirillum diekertiae,Sulfurospirillum,0,2909.02978515625,2,3
GCF_014203315.1,Nocardia transvalensis,Nocardia,0,3010.28125,0,3
GCF_045276875.1,Mycoplasma corogypsi,Mycoplasma,0,2873.0880533854165,0,3
GCF_000590555.1,Corynebacterium argentoratense,Corynebacterium,0,3016.226318359375,0,6
GCF_006715175.1,Curtobacterium citreum,Curtobacterium,0,3008.3455810546875,0,6
GCF_000590865.3,Candidatus Liberibacter asiaticus,Candidatus,0,2976.592529296875,0,3
GCF_006715765.1,Rarobacter incanus,Rarobacter,0,3010.28125,0,3
GCF_014203325.1,Saccharopolyspora gloriosae,Saccharopolyspora,0,3008.3226318359375,0,6
GCF_000590925.1,Roseicyclus elongatus,Roseicyclus,0,2907.2333984375,0,1
GCF_014203355.1,Kutzneria kofuensis,Kutzneria,0,3006.31787109375,0,3
GCF_014203395.1,Saccharopolyspora phatthalungensis,Saccharopolyspora,0,3012.2860107421875,0,6
GCF_045276965.1,Streptomyces althioticus,Streptomyces,0,2972.6648763020835,0,15
GCF_000005845.2,Escherichia coli,Escherichia,0,2990.2518484933034,0,21
GCF_045277155.1,Bartonella gliris,Bartonella,0,2948.848876953125,0,1
GCF_000006685.1,Chlamydia muridarum,Chlamydia,0,3077.65869140625,0,1
GCF_020268605.1,Arsenophonus apicola,Arsenophonus,0,2957.2928176153273,2.6666666666666665,21
GCF_014203425.1,Micromonospora echinospora,Micromonospora,0,3002.3544921875,0,3
GCF_020278625.1,Wolbachia endosymbiont of Mansonella ozzardi,Wolbachia,0,382.4669189453125,93,1
GCF_045277565.1,Aliisedimentitalea scapharcae,Aliisedimentitalea,0,2901.288330078125,0,3
GCF_006715785.1,Streptomyces puniciscabiei,Streptomyces,0,2826.0805501302084,6.933333333333334,15
GCF_045278715.1,Neomoorella carbonis,Neomoorella,0,3089.594970703125,0,1
GCF_000006765.1,Pseudomonas aeruginosa,Pseudomonas,0,3023.725626627604,0.6666666666666666,6
GCF_006716065.1,Salinispora arenicola,Salinispora,0,3004.336181640625,0,3
GCF_030064165.1,Comamonas resistens,Comamonas,0,3041.98828125,0,28
GCF_006716085.1,Leucobacter komagatae,Leucobacter,0,3018.2080078125,0,3
GCF_002310795.1,Pseudoalteromonas issachenkonii,Pseudoalteromonas,0,2983.4939575195312,0,28
GCF_000597865.1,Peptoclostridium acidaminophilum,Peptoclostridium,0,3011.6044340587796,0.47619047619047616,21
GCF_006716095.1,Barrientosiimonas humi,Barrientosiimonas,0,3040.006591796875,0,1
GCF_030064585.1,Sinorhizobium kummerowiae,Sinorhizobium,0,2942.90380859375,0,3
GCF_002327105.1,Luteimonas chenhongjianii,Luteimonas,0,3045.823486328125,0,1
GCF_006716115.1,Subtercola boreus,Subtercola,0,3024.153076171875,0,1
GCF_030067675.1,Chelatococcus albus,Chelatococcus,0,2942.90380859375,0,1
GCF_006716125.1,Homoserinimonas aerilata,Homoserinimonas,0,3022.17138671875,0,1
GCF_045278885.1,Thioclava litoralis,Thioclava,0,2909.215087890625,0,10
GCF_006716135.1,Streptomyces calvus,Streptomyces,0,3024.153076171875,0,3
GCF_000599985.1,Gilliamella apicola,Gilliamella,0,3033.4854329427085,1.3333333333333333,6
GCF_006716185.1,Ornithinicoccus hortensis,Ornithinicoccus,0,3016.226318359375,0,1
GCF_020297465.1,Parabacteroides gordonii,Parabacteroides,0,2933.141178385417,0.3333333333333333,15
GCF_030067835.1,Chakrabartyella piscis,Chakrabartyella,0,2977.5133056640625,0,6
GCF_030068475.1,Roseofilum acuticapitatum,Roseofilum,0,-417.4698791503906,108,1
GCF_006716205.1,Oryzihumus leptocrescens,Oryzihumus,0,3024.153076171875,0,3
GCF_020310005.1,Salegentibacter mishustinae,Salegentibacter,0,3032.079833984375,0,3
GCF_030077865.1,Mycoplasma phocimorsus,Mycoplasma,0,3010.419677734375,3,1
GCF_045291495.1,Pseudarthrobacter quantipunctorum,Pseudarthrobacter,0,3014.267578125,0,6
GCF_006716265.1,Rarobacter faecitabidus,Rarobacter,0,3010.28125,0,1
GCF_006716305.1,Enteractinococcus coprophilus,Enteractinococcus,0,3041.98828125,0,1
GCF_000600005.1,Snodgrassella alvi,Snodgrassella,0,3025.1502685546875,0,6
GCF_006716315.1,Nocardioides albertanoniae,Nocardioides,0,3000.372802734375,0,1
GCF_020310025.1,Leeuwenhoekiella palythoae,Leeuwenhoekiella,0,3028.116455078125,0,3
GCF_045310485.1,Aquirufa salirivi,Aquirufa,0,2984.519287109375,0,3
GCF_006716345.1,Microbacterium saperdae,Microbacterium,0,3020.189697265625,0,1
GCF_020328055.1,Fulvivirga sedimenti,Fulvivirga,0,3012.262939453125,0,1
GCF_006716355.1,Stackebrandtia endophytica,Stackebrandtia,0,3006.31787109375,0,1
GCF_045310505.1,Aquirufa novilacunae,Aquirufa,0,2984.519287109375,0,3
GCF_000006925.2,Shigella flexneri,Shigella,0,3015.131277901786,1.7142857142857142,21
GCF_006716425.1,Actinoallomurus bryophytorum,Actinoallomurus,0,3002.3544921875,0,3
GCF_006716445.1,Pseudonocardia kunmingensis,Pseudonocardia,0,3014.24462890625,0,3
GCF_006716565.1,Nocardia bhagyanarayanae,Nocardia,0,3010.28125,0,3
GCF_045346035.1,Candidatus Arsenophonus nilaparvatae,Candidatus,0,2999.5933349609377,1.2,10
GCF_014203705.1,Kitasatospora gansuensis,Kitasatospora,0,3020.189697265625,0,36
GCF_002327145.1,Janthinobacterium svalbardensis,Janthinobacterium,0,3015.320626395089,0.42857142857142855,28
GCF_014203755.1,Saccharothrix violaceirubra,Saccharothrix,0,3004.336181640625,0,6
GCF_045348165.1,Flavobacterium soyae,Flavobacterium,0,3000.372802734375,0,6
GCF_006716575.1,Halopolyspora algeriensis,Halopolyspora,0,2664.16748046875,1.2,10
GCF_020342335.1,Duffyella gerundensis,Duffyella,0,3003.071068173363,2,21
GCF_006716645.1,Arcticibacter tournemirensis,Arcticibacter,0,2985.877685546875,0,3
GCF_006716695.1,Klugiella xanthotipulae,Klugiella,0,3014.24462890625,0,1
GCF_020386615.1,Chitinophaga pendula,Chitinophaga,0,3030.09814453125,0,3
GCF_030122845.1,Paenibacillus woosongensis,Paenibacillus,0,3022.2462942940847,0,28
GCF_000006945.2,Salmonella enterica,Salmonella,0,2976.1702241443454,0,21
GCF_045348645.1,Micromonospora harpali,Micromonospora,0,2940.59375,1.3333333333333333,6
GCF_000006985.1,Chlorobaculum tepidum,Chlorobaculum,0,2976.592529296875,0,1
GCF_014203795.1,Streptosporangium album,Streptosporangium,0,3016.226318359375,0,10
GCF_020400595.2,Streptomyces naphthomycinicus,Streptomyces,0,3024.153076171875,0,6
GCF_006716745.1,Saccharothrix saharensis,Saccharothrix,0,3008.299560546875,0,6
